"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama",NA,"11999; eth_Unknown:2312; eth_Not Hispanic/Latino:8706; eth_Hispanic/Latino:981",NA,NA,NA,"ASIAN:70; BLACK:4697; OTHER:466; UNKNOWN:1694; WHITE:5072","5-24:1244; 65+:2965; 0-4:102; 50-64:2954; 25-49:4728; UNKNOWN:6","FEMALE:6939; MALE:4959; UNKNOWN/OTHER:101","488; eth_Unknown:59; eth_Not Hispanic/Latino:418; eth_Hispanic/Latino:11","ASIAN:3; BLACK:215; OTHER:6; UNKNOWN:18; WHITE:246","65+:395; 50-64:81; 25-49:12","FEMALE:218; MALE:269","x (death, in pdf)","1399",NA,NA,NA,"arcgis, pdf","CLN_ICU:504; CLN_VENT:296; HCW:1644; LTCF_Employee:770; LTCF_Resident:1185; LTCF_Visitor:48","05/17/2020"
"Alaska","34651","396; eth_Hispanic:38; eth_Non-Hispanic:336; eth_Unknown Ethnicity:22",1255,4,0,"AI/AN:29; ASIAN:45; BLACK:9; MULTI:15; NH/PI:13; OTHER:12; UNKNOWN:16; WHITE:257","0-10:9; 10-19:25; 20-29:68; 30-39:78; 40-49:57; 50-59:71; 60-69:55; 70-79:25; 80+:8; UNKNOWN:0","FEMALE:194; MALE:202; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"43; eth_Hispanic:4; eth_Non-Hispanic:37; eth_Unknown Ethnicity:2","AI/AN:6; ASIAN:7; BLACK:0; MULTI:0; WHITE:23; NA:7","0-10:0; 10-19:0; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:13; 80+:3; UNKNOWN:0","FEMALE:17; MALE:26; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:110; expr_Secondary_Cases:171; expr_Travel_Cases:102; expr_UI_Cases:13; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:915; Inpatient_Avail:925; ICU_Beds:195; ICU_Occup:96; ICU_Avail:99; Pos_COVID_PUI_Pending:10; Vent_Cap:346; Vent_Avail:297; Vent_Occup:49","05/16/2020"
"Arizona","194504","13631",NA,NA,NA,"AI/AN:1602; ASIAN:147; BLACK:431; MULTI:0; OTHER:280; UNKNOWN:5669; WHITE:3016","0-19:1081; 20-44:5232; 45-54:2297; 55-64:2039; 65+:2970; UNKNOWN:12","FEMALE:7207; MALE:6937; UNKNOWN/OTHER:0","679","AI/AN:11; ASIAN:7; BLACK:22; MULTI:0; OTHER:11; UNKNOWN:131; WHITE:287","0-19:0; 20-44:26; 45-54:33; 55-64:77; 65+:542; UNKNOWN:NA","FEMALE:308; MALE:370; UNKNOWN/OTHER:0",NA,"1683","AI/AN:172; ASIAN:34; BLACK:87; MULTI:0; WHITE:673; NA:267","0-19:15; 20-44:318; 45-54:262; 55-64:322; 65+:766; UNKNOWN:NA","FEMALE:793; MALE:890; UNKNOWN/OTHER:0","manual",NA,"05/16/2020"
"Arkansas","96094","4759",NA,NA,NA,"AI:13; ASIAN:55; BLACK:1781; HISPANIC:268; MULTI:32; OTHER:184; PI:91; UNKNOWN:249; WHITE:2354","0-17:173; 18-24:383; 25-44:1724; 45-64:1464; 65+:719","FEMALE:0.379; MALE:0.613","98",NA,NA,NA,NA,"530",NA,NA,NA,"pdf","curr_hosp:6; recovered:5; active_cases:2; curr_vent:3; ever_vent:1; nursing_home_res:4","05/17/2020"
"California",NA,"78839",NA,NA,NA,"AI/AN:104; ASIAN:5804; BLACK:3221; HISPANIC:29208; MULTI:490; NH/PI:526; OTHER:2824; PENDING:24210; WHITE:12452","0-17:3225; 18-49:20008; 50-64:19643; 65+:19365",NA,"3179","AI/AN:14; ASIAN:468; BLACK:311; HISPANIC:1137; MULTI:20; NH/PI:28; OTHER:40; PENDING:122; WHITE:1039","0-17:1; 18-49:32; 50-64:155; 65+:475",NA,NA,NA,NA,NA,NA,"pdf",NA,"05/16/2020"
"Colorado",NA,"19773",NA,NA,NA,"HISPANIC:0.3515; NH AI/AN:0.0044; NH ASIAN:0.0275; NH BLACK:0.0617; NH MULTI:0.0077; NH NH/PI:0.004; NH WHITE:0.3614; OTHER:0.0094; UNKNOWN:0.1724","0-9:438; 10-19:892; 20-29:3320; 30-39:3777; 40-49:3794; 50-59:3610; 60-69:2624; 70-79:1660; 80+:1768; UNKNOWN:55","FEMALE:0.5061; MALE:0.484; UNKNOWN/OTHER:0.0099","966","HISPANIC:0.1901; NH AI/AN:0.0058; NH ASIAN:0.0395; NH BLACK:0.0683; NH MULTI:0.0091; NH NH/PI:0.0033; NH WHITE:0.6436; OTHER:0.0058; UNKNOWN:0.0346","10-19:2; 20-29:7; 30-39:7; 40-49:31; 50-59:62; 60-69:163; 70-79:283; 80+:660","FEMALE:0.4395; MALE:0.5572; UNKNOWN/OTHER:0.0033",NA,"3255",NA,"0-9:32; 10-19:30; 20-29:166; 30-39:320; 40-49:477; 50-59:690; 60-69:685; 70-79:515; 80+:339; UNKNOWN:1",NA,"tableau",NA,"05/17/2020"
"Connecticut","170607","37419",5852,716,69,"HISPANIC:5079; NH AI/AN:30; NH ASIAN/PI:444; NH BLACK:3720; NH MULTI:43; NH OTHER:163; NH WHITE:9964; UNKNOWN:11178","0-9:352; 10-19:852; 20-29:4131; 30-39:5236; 40-49:5345; 50-59:6597; 60-69:5568; 70-79:3668; 80+:5545","FEMALE:20463; MALE:16769","3408","HISPANIC:234; NH AI/AN:0; NH ASIAN/PI:25; NH BLACK:399; NH MULTI:8; NH OTHER:14; NH WHITE:1879; UNKNOWN:74","0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:48; 50-59:141; 60-69:426; 70-79:733; 80+:2032","FEMALE:1710; MALE:1690",NA,NA,NA,NA,NA,NA,"No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:937","05/16/2020"
"Delaware","40865; Unknown**:7413; Non-Hispanic White:16430; Hispanic/Latino:4575; Non-Hispanic Black:9358; Another/Multiple:2481; Asian/Pacific Islander:608","7670",NA,NA,NA,"ASIAN/PI:113; HISPANIC:2100; MULTI:409; NH BLACK:2086; NH WHITE:2134; UNKNOWN:828","0-4:90; 5-17:344; 18-34:1984; 35-49:2014; 50-64:1810; 65+:1428","FEMALE:4201; MALE:3445; UNKNOWN/OTHER:24","290","ASIAN/PI:1; HISPANIC:21; MULTI:3; NH BLACK:68; NH WHITE:177; UNKNOWN:20","0-4:0; 5-17:0; 18-34:8; 35-49:7; 50-64:44; 65+:231","FEMALE:152; MALE:138",NA,NA,NA,NA,NA,NA,"Current Hospitalizations:1; Recovered:3","05/17/2020"
"District of Columbia","35532","7042",NA,NA,NA,"AI/AN:19; ASIAN:96; BLACK:3325; MULTI:0; OTHER:1617; UNKNOWN:880; WHITE:1105",NA,NA,"375","AI/AN:0; ASIAN:7; BLACK:288; MULTI:0; OTHER:0; UNKNOWN:2; WHITE:0",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","05/16/2020"
"Florida","630795","43607",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:9002; MULTI:0; OTHER:3917; UNKNOWN:6674; WHITE:24014","0-4:264; 5-14:568; 15-24:3407; 25-34:6541; 35-44:6521; 45-54:7658; 55-64:7320; 65-74:5294; 75-84:3598; 85+:2423; UNKNOWN:13","FEMALE:22062; MALE:21545; UNKNOWN/OTHER:0","1964","AI/AN:0; ASIAN:0; BLACK:432; MULTI:0; OTHER:121; UNKNOWN:75; WHITE:1336","0-4:0; 5-14:0; 15-24:0; 25-34:14; 35-44:33; 45-54:77; 55-64:184; 65-74:432; 75-84:590; 85+:634; UNKNOWN:0",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:2151; MULTI:0; WHITE:4937; NA:1058","0-4:17; 5-14:15; 15-24:123; 25-34:391; 35-44:666; 45-54:1035; 55-64:1437; 65-74:1721; 75-84:1587; 85+:1154; UNKNOWN:0",NA,"pdf","Age data only available in images on site","05/16/2020"
