state_name,total.tested,total.case,total.tested.today,total.positive.today,total.death.today,positive_race,positive_age,positive_gender,total.death,death_race,death_age,death_gender,comorbidities,total_hosp,hosp_race,hosp_age,hosp_gender,platform,comments,last.update
Alabama,NA,12302; eth_Unknown:2335; eth_Not Hispanic/Latino:8956; eth_Hispanic/Latino:1011,NA,NA,NA,ASIAN:72; BLACK:4868; OTHER:482; UNKNOWN:1702; WHITE:5178,5-24:1303; 65+:3012; 0-4:105; 50-64:3009; 25-49:4860; UNKNOWN:13,FEMALE:7119; MALE:5080; UNKNOWN/OTHER:103,494; eth_Unknown:60; eth_Not Hispanic/Latino:423; eth_Hispanic/Latino:11,ASIAN:3; BLACK:216; OTHER:6; UNKNOWN:19; WHITE:250,65+:399; 50-64:82; 25-49:12; UNKNOWN:1,FEMALE:220; MALE:273,NA,1432,NA,NA,NA,"arcgis, pdf",CLN_ICU:514; CLN_VENT:304; HCW:1695; LTCF_Employee:790; LTCF_Resident:1205; LTCF_Visitor:48,5/18/20
Alaska,35611,399; eth_Hispanic:38; eth_Non-Hispanic:340; eth_Unknown Ethnicity:21,960,3,0,AI/AN:30; ASIAN:46; BLACK:9; MULTI:15; NH/PI:14; OTHER:12; UNKNOWN:15; WHITE:258,0-10:9; 10-19:26; 20-29:69; 30-39:79; 40-49:57; 50-59:71; 60-69:55; 70-79:25; 80+:8; UNKNOWN:0,FEMALE:196; MALE:203; UNKNOWN/OTHER:0,10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0,AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5,0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0,FEMALE:5; MALE:5; UNKNOWN/OTHER:0,NA,43; eth_Hispanic:4; eth_Non-Hispanic:37; eth_Unknown Ethnicity:2,AI/AN:6; ASIAN:7; BLACK:0; MULTI:0; WHITE:23; NA:7,0-10:0; 10-19:0; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:13; 80+:3; UNKNOWN:0,FEMALE:17; MALE:26; UNKNOWN/OTHER:0,arcgis + raw data,expr_Community_Cases:112; expr_Secondary_Cases:171; expr_Travel_Cases:102; expr_UI_Cases:14; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:907; Inpatient_Avail:933; ICU_Beds:195; ICU_Occup:95; ICU_Avail:100; Pos_COVID_PUI_Pending:9; Vent_Cap:346; Vent_Avail:298; Vent_Occup:48,5/17/20
Arizona,212784,14170,NA,NA,NA,AI/AN:1668; ASIAN:152; BLACK:450; MULTI:0; OTHER:286; UNKNOWN:5934; WHITE:3089,0-19:1134; 20-44:5483; 45-54:2383; 55-64:2121; 65+:3038; UNKNOWN:11,FEMALE:7454; MALE:6692; UNKNOWN/OTHER:0,686,AI/AN:116; ASIAN:8; BLACK:23; MULTI:0; OTHER:11; UNKNOWN:132; WHITE:289,0-19:NA; 20-44:26; 45-54:33; 55-64:78; 65+:548; UNKNOWN:NA,FEMALE:312; MALE:373; UNKNOWN/OTHER:0,NA,1717,AI/AN:178; ASIAN:35; BLACK:89; MULTI:0; WHITE:681; NA:273,0-19:17; 20-44:326; 45-54:263; 55-64:333; 65+:778; UNKNOWN:NA,FEMALE:811; MALE:906; UNKNOWN/OTHER:0,manual,NA,5/18/20
Arkansas,99173,4813,NA,NA,NA,AI:13; ASIAN:55; BLACK:1796; HISPANIC:278; MULTI:35; OTHER:187; PI:92; UNKNOWN:268; WHITE:2367,0-17:193; 18-24:416; 25-44:1899; 45-64:1565; 65+:740,FEMALE:0.38; MALE:0.612,100,NA,NA,NA,NA,535,NA,NA,NA,pdf,curr_hosp:6; recovered:5; active_cases:2; curr_vent:3; ever_vent:1; nursing_home_res:4,5/18/20
California,NA,80430,NA,NA,NA,AI/AN:108; ASIAN:5952; BLACK:3267; HISPANIC:29693; MULTI:498; NH/PI:537; OTHER:2902; PENDING:24875; WHITE:12598,0-17:3335; 18-49:20496; 50-64:20043; 65+:19703,NA,3216,AI/AN:14; ASIAN:472; BLACK:321; HISPANIC:1173; MULTI:21; NH/PI:28; OTHER:36; PENDING:71; WHITE:1080,0-17:0; 18-49:32; 50-64:157; 65+:481,NA,NA,NA,NA,NA,NA,pdf,NA,5/17/20
Colorado,NA,20028,NA,NA,NA,HISPANIC:0.3527; NH AI/AN:0.0044; NH ASIAN:0.0274; NH BLACK:0.0613; NH MULTI:0.0075; NH NH/PI:0.0041; NH WHITE:0.3592; OTHER:0.0093; UNKNOWN:0.1741,0-9:443; 10-19:904; 20-29:3375; 30-39:3816; 40-49:3852; 50-59:3653; 60-69:2650; 70-79:1676; 80+:1778; UNKNOWN:55,FEMALE:0.506; MALE:0.4842; UNKNOWN/OTHER:0.0098,975,HISPANIC:0.1895; NH AI/AN:0.0057; NH ASIAN:0.0392; NH BLACK:0.0686; NH MULTI:0.009; NH NH/PI:0.0033; NH WHITE:0.6446; OTHER:0.0057; UNKNOWN:0.0343,10-19:2; 20-29:7; 30-39:7; 40-49:31; 50-59:65; 60-69:164; 70-79:284; 80+:664,FEMALE:0.4387; MALE:0.558; UNKNOWN/OTHER:0.0033,NA,3275,NA,0-9:32; 10-19:30; 20-29:169; 30-39:323; 40-49:480; 50-59:693; 60-69:689; 70-79:519; 80+:339; UNKNOWN:1,NA,tableau,NA,5/18/20
Connecticut,177679,38116,7072,697,41,HISPANIC:5079; NH AI/AN:30; NH ASIAN/PI:444; NH BLACK:3720; NH MULTI:43; NH OTHER:163; NH WHITE:9964; UNKNOWN:11178,0-9:376; 10-19:900; 20-29:4247; 30-39:5297; 40-49:5427; 50-59:6690; 60-69:5620; 70-79:3742; 80+:5681,FEMALE:20855; MALE:17067,3449,HISPANIC:234; NH AI/AN:0; NH ASIAN/PI:25; NH BLACK:399; NH MULTI:8; NH OTHER:14; NH WHITE:1879; UNKNOWN:74,0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:53; 50-59:140; 60-69:435; 70-79:745; 80+:2048,FEMALE:1737; MALE:1706,NA,NA,NA,NA,NA,NA,curr_hosp:920,5/17/20
Delaware,42458; Unknown**:7742; Non-Hispanic White:17093; Hispanic/Latino:4908; Non-Hispanic Black:9580; Another/Multiple:2505; Asian/Pacific Islander:630,7869,NA,NA,NA,ASIAN/PI:116; HISPANIC:2177; MULTI:411; NH BLACK:2117; NH WHITE:2218; UNKNOWN:830,0-4:92; 5-17:359; 18-34:2032; 35-49:2050; 50-64:1858; 65+:1478,FEMALE:4313; MALE:3532; UNKNOWN/OTHER:24,297,ASIAN/PI:1; HISPANIC:21; MULTI:3; NH BLACK:70; NH WHITE:182; UNKNOWN:20,0-4:0; 5-17:0; 18-34:8; 35-49:7; 50-64:45; 65+:237,FEMALE:155; MALE:142,NA,NA,NA,NA,NA,NA,Current Hospitalizations:1; Recovered:3,5/18/20
Florida,677710,45208,NA,NA,NA,AI/AN:0; ASIAN:0; BLACK:9223; MULTI:0; OTHER:4080; UNKNOWN:7239; WHITE:24666,0-4:290; 5-14:629; 15-24:3577; 25-34:6812; 35-44:6786; 45-54:7890; 55-64:7543; 65-74:5439; 75-84:3706; 85+:2525; UNKNOWN:11,FEMALE:22967; MALE:22241; UNKNOWN/OTHER:0,1997,AI/AN:0; ASIAN:0; BLACK:436; MULTI:0; OTHER:124; UNKNOWN:73; WHITE:1364,0-4:0; 5-14:0; 15-24:0; 25-34:14; 35-44:33; 45-54:77; 55-64:184; 65-74:439; 75-84:598; 85+:652; UNKNOWN:0,NA,NA,NA,AI/AN:0; ASIAN:0; BLACK:2201; MULTI:0; WHITE:5039; NA:1064,0-4:17; 5-14:16; 15-24:126; 25-34:406; 35-44:678; 45-54:1054; 55-64:1457; 65-74:1747; 75-84:1626; 85+:1177; UNKNOWN:0,NA,pdf,,5/18/20
Georgia,NA,38283; eth_HISPANIC/LATINO:4120; eth_NON-HISPANIC/LATINO:19717; eth_UNKNOWN:14446,NA,NA,NA,AI/AN:48; ASIAN:559; BLACK:13299; NH/PI:25; OTHER:2275; UNKNOWN:10348; WHITE:11729,NA,NA,1649; eth_HISPANIC/LATINO:61; eth_NON-HISPANIC/LATINO:1550; eth_UNKNOWN:38,AI/AN:4; ASIAN:28; BLACK:804; NH/PI:2; OTHER:22; UNKNOWN:27; WHITE:762,.:1; 22:2; 25:2; 26:2; 27:1; 28:1; 29:3; 30:2; 31:4; 32:2; 33:6; 34:6; 35:2; 36:3; 37:3; 38:2; 39:1; 40:2; 42:3; 43:4; 44:7; 45:7; 46:6; 47:3; 48:13; 49:13; 50:9; 51:6; 52:6; 53:16; 54:15; 55:12; 56:19; 57:14; 58:22; 59:19; 60:19; 61:27; 62:29; 63:41; 64:27; 65:42; 66:37; 67:34; 68:45; 69:29; 70:42; 71:45; 72:28; 73:55; 74:45; 75:53; 76:42; 77:43; 78:52; 79:51; 80:34; 81:50; 82:47; 83:51; 84:52; 85:57; 86:26; 87:40; 88:30; 89:40; 90+:197,FEMALE:778; MALE:871,No:78; Unknown:535; Yes:1036,6992,NA,NA,NA,webpage,NA,5/18/20
