"NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI/AN","HISPANIC.AI/AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH/PI","HISPANIC.NH/PI","NH.MULTI","HISPANIC.MULTI","ETH_NH","ETH_HISPANIC","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
"Alabama",4887871,3197324,182631,1295175,15627,27464,6911,71388,1779,2558,2649,76781,7584,4670690,217181,2364115,2523756,56739,57964,59428,59872,59200,58221,59259,59811,60005,60604,62859,62768,61782,61527,61559,61608,61747,64887,64281,63157,63954,64258,64735,65722,66551,66397,68132,70333,69597,65555,62245,60439,60082,61281,59479,60424,61043,61017,62813,58697,58243,58338,55780,58464,57483,59086,62099,65814,64944,61023,59574,59898,61705,66124,67191,66911,67444,67632,68617,66207,65716,65975,63662,62620,60395,57463,55469,53650,52614,51603,51064,52887,38231,37953,36787,37420,31908,28771,27489,25270,23856,21028,19723,18117,15726,89865
"Alaska",737438,444411,37468,24861,3081,107674,5842,47799,1226,9707,514,49698,5157,684150,53288,384573,352865,10665,10622,10649,10582,10597,10551,10378,10581,10403,10143,10245,10136,9791,9921,9666,9636,9537,9713,9035,8342,9606,10275,10535,11092,11492,11850,12556,12779,12538,11949,11781,11341,11529,11599,10943,11189,10656,10318,10205,9304,9099,8948,8324,8545,8062,8213,8531,8965,9243,8606,8410,8490,8766,9322,9571,9804,9786,9959,10142,9555,9508,9416,8899,9061,8472,7929,7460,6861,6661,6167,5767,5672,4150,4082,3806,3566,3072,2782,2409,2064,1938,1675,1478,1392,1227,6853
"Arizona",7171646,3902867,2034939,313875,50405,283832,96328,244348,19348,13536,6253,146845,59070,4905303,2266343,3565339,3606307,83553,85206,87218,89977,89982,89586,89696,90466,90175,91803,95985,96440,95263,94661,94072,91210,92264,95100,98259,96961,95670,96903,97874,100561,101168,102245,104716,106747,105131,99141,95840,93001,94154,93944,90926,92849,92962,91870,94135,87071,85115,84744,82708,85750,83227,82402,84940,89628,90146,85049,82245,80875,81402,86511,87592,87657,87941,89270,90100,87117,87083,86496,83958,84332,82323,80318,78443,77436,77224,76308,77037,81490,60125,59532,58249,59360,51120,46410,43108,39496,36694,32765,30094,27295,23471,142275
"Arkansas",3013825,2176611,208602,464640,7647,22911,7314,48509,1792,9704,1177,58263,6655,2780638,233187,1480143,1533682,36901,37516,38615,38888,38423,37981,38726,38664,38947,38966,40392,40924,40035,39920,39515,39439,39207,40121,39598,39342,40449,40382,40507,39931,40369,40330,41335,42670,42388,39774,38672,37705,37775,38048,37891,38293,38397,38707,39612,36664,36213,35645,34428,35977,34582,35117,36694,38170,38368,35823,34836,34944,35570,39145,40000,39862,39613,39759,40072,38857,38367,38132,37130,36809,35866,34530,33190,32287,31470,31084,30749,32307,23575,23764,23055,23060,20203,18603,17535,15833,14705,13126,12189,11603,9942,59017
"California",39557045,14568608,13963132,2223274,332726,163273,487803,5818319,245281,145491,54381,1097938,456819,24016903,15540142,19663577,19893468,477320,480807,488744,498325,496104,496909,495526,506874,495113,494480,513360,514706,509164,506635,504108,501871,496941,512968,529012,504583,510309,520836,536779,561777,582099,594167,618991,646679,647509,618470,603099,585442,582017,583094,564331,567403,563023,550063,557002,517489,506911,503432,493638,507536,489174,490577,500404,522948,542698,511456,498345,486379,489081,513729,516357,511918,504398,504507,513489,484498,476834,467496,450325,446239,421522,401505,379294,366372,362770,343161,333817,339077,262337,256763,240318,236410,206908,188421,179517,165462,155503,142103,132023,123934,109745,743585
"Colorado",5695564,3868329,1090981,229085,30626,36614,54506,187668,9966,7596,3337,131155,45701,4460447,1235117,2867868,2827696,66125,66815,67444,68294,68176,67668,68350,69971,71058,70906,72523,73517,72973,73186,73179,72625,70645,71780,74061,74253,71352,72002,74573,78323,82264,86795,90934,92737,93371,90070,88291,88647,89435,88818,85324,85824,84486,83386,83730,77632,75884,74158,71337,73404,70238,70177,72681,76291,76503,71929,68166,66007,65974,70387,72056,72588,72899,74404,74916,72469,71703,71012,68356,67291,64962,63059,60083,57157,55212,52566,51298,53071,37655,36229,34468,33844,28888,25680,23800,21895,20297,18293,16884,15592,13894,88364
"Connecticut",3572665,2376351,482929,364858,64440,7758,12185,169570,4229,1269,2571,63050,23455,2982856,589809,1743395,1829270,35113,35886,36783,37674,37678,37866,38517,39555,39743,40330,42078,42900,43456,44411,45052,45283,45826,47042,51615,52138,52062,51130,47966,45996,45962,46378,44968,44172,44061,43344,44372,44257,45164,44964,43710,43884,43931,43443,44366,42252,41308,41333,40392,41712,40715,42164,44738,48540,50611,48923,48857,49664,51829,54570,55055,54151,53597,54503,54595,52621,51943,50693,48377,47088,44237,42233,39543,37253,36366,34925,35026,37339,27698,26787,26400,27648,23079,20227,18821,17611,16768,15140,14472,13673,12241,91871
"Delaware",967171,599061,72958,211504,10566,3009,3449,38921,663,343,706,22359,3632,875197,91974,467927,499244,10645,10892,11126,11092,11056,11018,11303,11398,11275,11253,11508,11502,11599,11481,11564,11674,11548,11682,12942,12517,11935,11093,11089,11816,12416,12604,12956,13726,13899,13795,13100,12444,12254,12429,11856,12054,11736,11629,11981,11450,11058,10588,10150,10548,10274,10612,11165,12172,12623,11860,11895,12326,12695,13461,13682,13735,13691,13859,13932,13576,13908,13603,13363,13187,12785,12666,12193,11739,11558,11358,11423,12100,8659,8350,8148,8411,7180,6316,5683,5215,4965,4331,4021,3734,3199,19837
"District of Columbia",702455,260268,60106,315337,10844,1407,2889,30064,961,347,628,15783,3821,623206,79249,333307,369148,9870,9451,9099,8908,8289,8482,8094,7711,6851,6484,6287,6099,5592,5379,5216,5076,5104,5502,9021,12197,10677,9124,8435,10967,13721,14798,16222,17008,17598,17470,17579,16831,16280,15643,14658,13969,13154,12314,11877,10898,9815,9293,8298,8302,7754,7791,7737,8084,7804,7371,7167,7094,7120,7605,7680,7627,7293,7345,7416,6995,6936,6829,6673,6666,6522,6067,5703,5551,5439,5224,5046,4967,3791,3748,3568,3414,3173,2749,2667,2416,2228,2068,1881,1813,1637,12153
"Florida",21299325,11399170,5072955,3309386,290735,53689,53295,607001,24736,13575,10778,354087,109918,15736908,5562417,10411777,10887548,222040,226785,230991,231519,231848,229244,231879,233764,231064,231636,241136,243256,242451,240317,239087,233383,240454,248227,247558,236800,242346,247152,251360,260737,268228,274252,284160,295472,297296,285297,276746,269747,269904,271621,263760,267113,266310,262946,268477,253736,251649,252132,245828,252338,248235,255504,267439,280316,282084,266512,263168,266392,274265,292447,298245,296034,294331,296821,297111,286283,283495,282862,275017,274712,267935,261356,256278,254396,251097,248753,252145,270275,204511,201489,197602,204630,177054,160572,150535,140395,132247,120124,111266,103116,88811,571419
