"X","NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI.AN","HISPANIC.AI.AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH.PI","HISPANIC.NH.PI","NH.MULTI","HISPANIC.MULTI","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
1,"Alabama",4887681,3198350,183292,1294335,15239,27413,6868,70692,1662,2527,2521,77173,7609,2363320,2524361,57853,58664,59507,59981,59290,58261,59278,59859,59967,60571,62832,62729,61769,61463,61493,61576,61782,64979,64359,63223,63911,64163,64562,65667,66484,66398,68145,70367,69617,65585,62256,60452,60041,61218,59425,60401,60936,60993,62809,58673,58184,58208,55676,58373,57399,59033,62005,65695,64899,60973,59522,59878,61689,66093,67238,66898,67370,67514,68578,66165,65701,65944,63641,62589,60425,57471,55471,53660,52654,51500,51046,52837,38154,37858,36630,37348,31807,28737,27432,25274,23804,20996,19627,18047,15689,90410
2,"Alaska",735139,444054,37185,24709,2943,107847,6159,46647,1191,9812,501,48924,5167,383447,351692,10248,10418,10614,10562,10612,10575,10386,10577,10381,10114,10207,10090,9738,9857,9609,9603,9494,9611,8902,8238,9514,10175,10455,11065,11505,11854,12553,12757,12553,11911,11761,11326,11507,11579,10941,11187,10652,10349,10209,9284,9029,8878,8294,8507,8043,8147,8475,8934,9217,8601,8402,8473,8721,9289,9567,9786,9789,9946,10132,9531,9489,9414,8909,9064,8439,7919,7445,6877,6645,6163,5796,5673,4158,4081,3806,3573,3081,2793,2423,2069,1927,1677,1493,1398,1234,6859
3,"Arizona",7158024,3899826,2028584,314495,49654,283892,97038,241172,18756,13473,6061,146310,58763,3557384,3600640,81730,84444,87060,89780,89784,89427,89544,90379,90029,91637,95857,96211,95074,94477,94002,91105,92164,94896,98151,96868,95673,96897,97815,100416,101038,102103,104533,106492,104910,98893,95637,92815,94014,93874,90805,92835,92869,91710,93918,86828,85023,84738,82709,85702,83175,82323,84845,89452,89874,84845,82093,80797,81270,86411,87476,87597,87775,89023,89858,86887,86876,86277,83856,84165,82111,80103,78168,77171,77031,76096,76814,81406,60077,59492,58109,59217,50993,46307,43079,39402,36666,32794,30130,27289,23445,142383
4,"Arkansas",3009733,2174528,207026,464270,7718,22910,7382,47838,1764,10110,1151,58403,6633,1478109,1531624,36922,37481,38591,38880,38407,37958,38700,38621,38876,38878,40326,40873,40011,39912,39548,39437,39178,40105,39592,39295,40392,40263,40372,39835,40276,40349,41311,42656,42351,39728,38640,37658,37742,38019,37821,38260,38295,38646,39572,36654,36179,35607,34369,35910,34487,35054,36600,38101,38315,35758,34780,34935,35522,39100,39928,39854,39589,39716,40007,38831,38335,38068,37073,36773,35785,34509,33139,32225,31404,30999,30694,32259,23501,23660,22894,22901,20117,18494,17458,15713,14619,13053,12140,11586,9901,59360
5,"California",39461588,14580021,13917411,2220584,327404,163662,482964,5781754,239254,145844,52900,1096864,452926,19618452,19843136,464998,480187,487917,497761,495620,496541,495139,506625,495017,494239,513068,514371,508821,506402,504056,501905,496620,512461,528002,503234,508395,518676,534451,558968,579461,591964,617738,645737,646701,617424,601895,583999,580814,582002,563494,566527,562329,549192,556146,516126,505102,501637,492010,506063,487811,489046,498719,521037,540913,509726,496657,484776,487455,512334,514988,510545,502907,503291,512563,483685,475984,466371,449001,445019,420269,400629,378413,365715,361629,342039,333023,338649,261657,256206,239854,236111,206700,188362,179466,165577,155537,142333,132392,124281,109971,740112
6,"Colorado",5691287,3866183,1090748,229613,30193,36800,54644,186981,9698,7621,3255,130341,45210,2865761,2825526,64545,66040,67546,68385,68236,67767,68460,70126,71138,70940,72541,73494,72982,73192,73194,72653,70667,71850,73392,73047,70785,71673,74327,78199,82237,86819,90963,92700,93361,90152,88550,88908,89645,89020,85460,86011,84627,83470,83718,77594,75805,74050,71335,73417,70245,70157,72645,76278,76490,71872,68097,65899,65891,70375,72058,72670,73007,74440,74981,72435,71753,70999,68362,67343,64969,63016,59999,57103,55181,52430,51203,52989,37588,36158,34387,33728,28848,25684,23788,21935,20367,18304,16858,15633,13856,88245
7,"Connecticut",3571520,2375997,483549,364678,63638,7758,12378,169113,4147,1265,2555,62884,23558,1742123,1829397,34941,35982,36746,37661,37718,37903,38613,39627,39758,40322,42097,42917,43548,44537,45060,45319,45800,47119,51499,51922,51876,50891,47705,45938,45980,46495,45021,44167,44117,43435,44410,44220,45225,44989,43716,43839,43907,43358,44322,42287,41479,41406,40413,41611,40595,42027,44717,48554,50683,48916,48861,49666,51882,54502,54975,54022,53567,54504,54645,52620,51939,50645,48362,47055,44294,42210,39554,37244,36426,34937,35023,37340,27720,26790,26369,27596,23031,20238,18830,17596,16803,15178,14424,13616,12207,91461
8,"Delaware",965479,598844,72287,211390,10484,3006,3434,38434,667,343,670,22318,3602,466838,498641,10666,10977,11146,11100,11067,11011,11301,11388,11291,11275,11536,11521,11589,11465,11549,11625,11536,11669,12912,12453,11868,11024,11000,11708,12270,12444,12906,13686,13897,13798,13070,12384,12177,12367,11865,12073,11674,11582,11852,11383,10970,10569,10126,10530,10256,10595,11122,12117,12558,11819,11858,12314,12685,13453,13673,13731,13663,13843,13905,13535,13876,13595,13365,13150,12766,12660,12195,11758,11574,11365,11441,12100,8648,8338,8153,8367,7205,6295,5706,5250,4982,4347,4024,3751,3166,19975
9,"District of Columbia",701547,260081,58885,316103,11116,1418,2685,29808,946,345,608,15801,3751,332904,368643,9605,9409,9063,8884,8257,8456,8050,7657,6802,6443,6232,6077,5579,5373,5183,5039,5063,5476,9018,12168,10627,9037,8389,11002,13751,14771,16119,16898,17598,17583,17693,16886,16312,15615,14583,13944,13143,12361,11887,10894,9759,9247,8242,8233,7679,7764,7750,8117,7837,7396,7236,7127,7143,7584,7661,7617,7311,7394,7454,7021,6962,6797,6670,6644,6524,6087,5684,5561,5458,5230,5050,4953,3800,3757,3568,3432,3188,2773,2703,2445,2232,2079,1893,1827,1648,12083
10,"Florida",21244317,11389285,5051133,3300745,289212,53498,52926,595189,24113,13522,10509,354221,109964,10385373,10858944,223020,226775,230442,231159,231684,229031,231631,233305,230511,231078,240600,242710,241980,239604,238478,232777,239853,247367,246718,236199,241543,246084,250201,259581,267543,272908,282697,293734,296107,284511,276006,268937,268943,270655,262901,266428,265641,261952,267047,252557,250906,251383,245286,251781,247610,254831,266866,279764,281397,265820,262745,266140,273926,292020,297564,295446,293781,296140,296564,285486,282393,281638,273574,273197,266417,260161,255139,253407,250448,248091,251162,269003,203831,200922,197060,204062,176650,160428,150557,140656,132507,120368,111541,103434,89156,572161
