NAME,pre,age,pop_est
Alabama,AGE,0,56739
Alabama,AGE,1,57964
Alabama,AGE,2,59428
Alabama,AGE,3,59872
Alabama,AGE,4,59200
Alabama,AGE,5,58221
Alabama,AGE,6,59259
Alabama,AGE,7,59811
Alabama,AGE,8,60005
Alabama,AGE,9,60604
Alabama,AGE,10,62859
Alabama,AGE,11,62768
Alabama,AGE,12,61782
Alabama,AGE,13,61527
Alabama,AGE,14,61559
Alabama,AGE,15,61608
Alabama,AGE,16,61747
Alabama,AGE,17,64887
Alabama,AGE,18,64281
Alabama,AGE,19,63157
Alabama,AGE,20,63954
Alabama,AGE,21,64258
Alabama,AGE,22,64735
Alabama,AGE,23,65722
Alabama,AGE,24,66551
Alabama,AGE,25,66397
Alabama,AGE,26,68132
Alabama,AGE,27,70333
Alabama,AGE,28,69597
Alabama,AGE,29,65555
Alabama,AGE,30,62245
Alabama,AGE,31,60439
Alabama,AGE,32,60082
Alabama,AGE,33,61281
Alabama,AGE,34,59479
Alabama,AGE,35,60424
Alabama,AGE,36,61043
Alabama,AGE,37,61017
Alabama,AGE,38,62813
Alabama,AGE,39,58697
Alabama,AGE,40,58243
Alabama,AGE,41,58338
Alabama,AGE,42,55780
Alabama,AGE,43,58464
Alabama,AGE,44,57483
Alabama,AGE,45,59086
Alabama,AGE,46,62099
Alabama,AGE,47,65814
Alabama,AGE,48,64944
Alabama,AGE,49,61023
Alabama,AGE,50,59574
Alabama,AGE,51,59898
Alabama,AGE,52,61705
Alabama,AGE,53,66124
Alabama,AGE,54,67191
Alabama,AGE,55,66911
Alabama,AGE,56,67444
Alabama,AGE,57,67632
Alabama,AGE,58,68617
Alabama,AGE,59,66207
Alabama,AGE,60,65716
Alabama,AGE,61,65975
Alabama,AGE,62,63662
Alabama,AGE,63,62620
Alabama,AGE,64,60395
Alabama,AGE,65,57463
Alabama,AGE,66,55469
Alabama,AGE,67,53650
Alabama,AGE,68,52614
Alabama,AGE,69,51603
Alabama,AGE,70,51064
Alabama,AGE,71,52887
Alabama,AGE,72,38231
Alabama,AGE,73,37953
Alabama,AGE,74,36787
Alabama,AGE,75,37420
Alabama,AGE,76,31908
Alabama,AGE,77,28771
Alabama,AGE,78,27489
Alabama,AGE,79,25270
Alabama,AGE,80,23856
Alabama,AGE,81,21028
Alabama,AGE,82,19723
Alabama,AGE,83,18117
Alabama,AGE,84,15726
Alabama,AGE,85,89865
Alaska,AGE,0,10665
Alaska,AGE,1,10622
Alaska,AGE,2,10649
Alaska,AGE,3,10582
Alaska,AGE,4,10597
Alaska,AGE,5,10551
Alaska,AGE,6,10378
Alaska,AGE,7,10581
Alaska,AGE,8,10403
Alaska,AGE,9,10143
Alaska,AGE,10,10245
Alaska,AGE,11,10136
Alaska,AGE,12,9791
Alaska,AGE,13,9921
Alaska,AGE,14,9666
Alaska,AGE,15,9636
Alaska,AGE,16,9537
Alaska,AGE,17,9713
Alaska,AGE,18,9035
Alaska,AGE,19,8342
Alaska,AGE,20,9606
Alaska,AGE,21,10275
Alaska,AGE,22,10535
Alaska,AGE,23,11092
Alaska,AGE,24,11492
Alaska,AGE,25,11850
Alaska,AGE,26,12556
Alaska,AGE,27,12779
Alaska,AGE,28,12538
Alaska,AGE,29,11949
Alaska,AGE,30,11781
Alaska,AGE,31,11341
Alaska,AGE,32,11529
Alaska,AGE,33,11599
Alaska,AGE,34,10943
Alaska,AGE,35,11189
Alaska,AGE,36,10656
Alaska,AGE,37,10318
Alaska,AGE,38,10205
Alaska,AGE,39,9304
Alaska,AGE,40,9099
Alaska,AGE,41,8948
Alaska,AGE,42,8324
Alaska,AGE,43,8545
Alaska,AGE,44,8062
Alaska,AGE,45,8213
Alaska,AGE,46,8531
Alaska,AGE,47,8965
Alaska,AGE,48,9243
Alaska,AGE,49,8606
Alaska,AGE,50,8410
Alaska,AGE,51,8490
Alaska,AGE,52,8766
Alaska,AGE,53,9322
Alaska,AGE,54,9571
Alaska,AGE,55,9804
Alaska,AGE,56,9786
Alaska,AGE,57,9959
Alaska,AGE,58,10142
Alaska,AGE,59,9555
Alaska,AGE,60,9508
Alaska,AGE,61,9416
Alaska,AGE,62,8899
Alaska,AGE,63,9061
Alaska,AGE,64,8472
Alaska,AGE,65,7929
Alaska,AGE,66,7460
Alaska,AGE,67,6861
Alaska,AGE,68,6661
Alaska,AGE,69,6167
Alaska,AGE,70,5767
Alaska,AGE,71,5672
Alaska,AGE,72,4150
Alaska,AGE,73,4082
Alaska,AGE,74,3806
Alaska,AGE,75,3566
Alaska,AGE,76,3072
Alaska,AGE,77,2782
Alaska,AGE,78,2409
Alaska,AGE,79,2064
Alaska,AGE,80,1938
Alaska,AGE,81,1675
Alaska,AGE,82,1478
Alaska,AGE,83,1392
Alaska,AGE,84,1227
Alaska,AGE,85,6853
Arizona,AGE,0,83553
Arizona,AGE,1,85206
Arizona,AGE,2,87218
Arizona,AGE,3,89977
Arizona,AGE,4,89982
Arizona,AGE,5,89586
Arizona,AGE,6,89696
Arizona,AGE,7,90466
Arizona,AGE,8,90175
Arizona,AGE,9,91803
Arizona,AGE,10,95985
Arizona,AGE,11,96440
Arizona,AGE,12,95263
Arizona,AGE,13,94661
Arizona,AGE,14,94072
Arizona,AGE,15,91210
Arizona,AGE,16,92264
Arizona,AGE,17,95100
Arizona,AGE,18,98259
Arizona,AGE,19,96961
Arizona,AGE,20,95670
Arizona,AGE,21,96903
Arizona,AGE,22,97874
Arizona,AGE,23,100561
Arizona,AGE,24,101168
Arizona,AGE,25,102245
Arizona,AGE,26,104716
Arizona,AGE,27,106747
Arizona,AGE,28,105131
Arizona,AGE,29,99141
Arizona,AGE,30,95840
Arizona,AGE,31,93001
Arizona,AGE,32,94154
Arizona,AGE,33,93944
Arizona,AGE,34,90926
Arizona,AGE,35,92849
Arizona,AGE,36,92962
Arizona,AGE,37,91870
Arizona,AGE,38,94135
Arizona,AGE,39,87071
Arizona,AGE,40,85115
Arizona,AGE,41,84744
Arizona,AGE,42,82708
Arizona,AGE,43,85750
Arizona,AGE,44,83227
Arizona,AGE,45,82402
Arizona,AGE,46,84940
Arizona,AGE,47,89628
Arizona,AGE,48,90146
Arizona,AGE,49,85049
Arizona,AGE,50,82245
Arizona,AGE,51,80875
Arizona,AGE,52,81402
Arizona,AGE,53,86511
Arizona,AGE,54,87592
Arizona,AGE,55,87657
Arizona,AGE,56,87941
Arizona,AGE,57,89270
Arizona,AGE,58,90100
Arizona,AGE,59,87117
Arizona,AGE,60,87083
