NAME,ASIAN/PI,category,pop_est,new_category
Alabama,73946,TOTAL_POP,4887871,TOTAL_POP
Alabama,73946,NH.WHITE,3197324,NH WHITE
Alabama,73946,HISPANIC.WHITE,182631,NA
Alabama,73946,NH.BLACK,1295175,BLACK
Alabama,73946,HISPANIC.BLACK,15627,NA
Alabama,73946,NH.AI/AN,27464,AI/AN
Alabama,73946,HISPANIC.AI/AN,6911,NA
Alabama,73946,NH.ASIAN,71388,ASIAN
Alabama,73946,HISPANIC.ASIAN,1779,NA
Alabama,73946,NH.NH/PI,2558,NH/PI
Alabama,73946,HISPANIC.NH/PI,2649,NA
Alabama,73946,NH.MULTI,76781,MULTI
Alabama,73946,HISPANIC.MULTI,7584,NA
Alabama,73946,ETH_NH,4670690,NH
Alabama,73946,ETH_HISPANIC,217181,HISPANIC
Alabama,73946,MALE,2364115,MALE
Alabama,73946,FEMALE,2523756,FEMALE
Alabama,73946,AI/AN/NH/PI,30022,AI/AN/NH/PI
Alaska,57506,TOTAL_POP,737438,TOTAL_POP
Alaska,57506,NH.WHITE,444411,NH WHITE
Alaska,57506,HISPANIC.WHITE,37468,NA
Alaska,57506,NH.BLACK,24861,BLACK
Alaska,57506,HISPANIC.BLACK,3081,NA
Alaska,57506,NH.AI/AN,107674,AI/AN
Alaska,57506,HISPANIC.AI/AN,5842,NA
Alaska,57506,NH.ASIAN,47799,ASIAN
Alaska,57506,HISPANIC.ASIAN,1226,NA
Alaska,57506,NH.NH/PI,9707,NH/PI
Alaska,57506,HISPANIC.NH/PI,514,NA
Alaska,57506,NH.MULTI,49698,MULTI
Alaska,57506,HISPANIC.MULTI,5157,NA
Alaska,57506,ETH_NH,684150,NH
Alaska,57506,ETH_HISPANIC,53288,HISPANIC
Alaska,57506,MALE,384573,MALE
Alaska,57506,FEMALE,352865,FEMALE
Alaska,57506,AI/AN/NH/PI,117381,AI/AN/NH/PI
Arizona,257884,TOTAL_POP,7171646,TOTAL_POP
Arizona,257884,NH.WHITE,3902867,NH WHITE
Arizona,257884,HISPANIC.WHITE,2034939,NA
Arizona,257884,NH.BLACK,313875,BLACK
Arizona,257884,HISPANIC.BLACK,50405,NA
Arizona,257884,NH.AI/AN,283832,AI/AN
Arizona,257884,HISPANIC.AI/AN,96328,NA
Arizona,257884,NH.ASIAN,244348,ASIAN
Arizona,257884,HISPANIC.ASIAN,19348,NA
Arizona,257884,NH.NH/PI,13536,NH/PI
Arizona,257884,HISPANIC.NH/PI,6253,NA
Arizona,257884,NH.MULTI,146845,MULTI
Arizona,257884,HISPANIC.MULTI,59070,NA
Arizona,257884,ETH_NH,4905303,NH
Arizona,257884,ETH_HISPANIC,2266343,HISPANIC
Arizona,257884,MALE,3565339,MALE
Arizona,257884,FEMALE,3606307,FEMALE
Arizona,257884,AI/AN/NH/PI,297368,AI/AN/NH/PI
Arkansas,58213,TOTAL_POP,3013825,TOTAL_POP
Arkansas,58213,NH.WHITE,2176611,NH WHITE
Arkansas,58213,HISPANIC.WHITE,208602,NA
Arkansas,58213,NH.BLACK,464640,BLACK
Arkansas,58213,HISPANIC.BLACK,7647,NA
Arkansas,58213,NH.AI/AN,22911,AI/AN
Arkansas,58213,HISPANIC.AI/AN,7314,NA
Arkansas,58213,NH.ASIAN,48509,ASIAN
Arkansas,58213,HISPANIC.ASIAN,1792,NA
Arkansas,58213,NH.NH/PI,9704,NH/PI
Arkansas,58213,HISPANIC.NH/PI,1177,NA
Arkansas,58213,NH.MULTI,58263,MULTI
Arkansas,58213,HISPANIC.MULTI,6655,NA
Arkansas,58213,ETH_NH,2780638,NH
Arkansas,58213,ETH_HISPANIC,233187,HISPANIC
Arkansas,58213,MALE,1480143,MALE
Arkansas,58213,FEMALE,1533682,FEMALE
Arkansas,58213,AI/AN/NH/PI,32615,AI/AN/NH/PI
California,5963810,TOTAL_POP,39557045,TOTAL_POP
California,5963810,NH.WHITE,14568608,NH WHITE
California,5963810,HISPANIC.WHITE,13963132,NA
California,5963810,NH.BLACK,2223274,BLACK
California,5963810,HISPANIC.BLACK,332726,NA
California,5963810,NH.AI/AN,163273,AI/AN
California,5963810,HISPANIC.AI/AN,487803,NA
California,5963810,NH.ASIAN,5818319,ASIAN
California,5963810,HISPANIC.ASIAN,245281,NA
California,5963810,NH.NH/PI,145491,NH/PI
California,5963810,HISPANIC.NH/PI,54381,NA
California,5963810,NH.MULTI,1097938,MULTI
California,5963810,HISPANIC.MULTI,456819,NA
California,5963810,ETH_NH,24016903,NH
California,5963810,ETH_HISPANIC,15540142,HISPANIC
California,5963810,MALE,19663577,MALE
California,5963810,FEMALE,19893468,FEMALE
California,5963810,AI/AN/NH/PI,308764,AI/AN/NH/PI
Colorado,195264,TOTAL_POP,5695564,TOTAL_POP
Colorado,195264,NH.WHITE,3868329,NH WHITE
Colorado,195264,HISPANIC.WHITE,1090981,NA
Colorado,195264,NH.BLACK,229085,BLACK
Colorado,195264,HISPANIC.BLACK,30626,NA
Colorado,195264,NH.AI/AN,36614,AI/AN
Colorado,195264,HISPANIC.AI/AN,54506,NA
Colorado,195264,NH.ASIAN,187668,ASIAN
Colorado,195264,HISPANIC.ASIAN,9966,NA
Colorado,195264,NH.NH/PI,7596,NH/PI
Colorado,195264,HISPANIC.NH/PI,3337,NA
Colorado,195264,NH.MULTI,131155,MULTI
Colorado,195264,HISPANIC.MULTI,45701,NA
Colorado,195264,ETH_NH,4460447,NH
Colorado,195264,ETH_HISPANIC,1235117,HISPANIC
Colorado,195264,MALE,2867868,MALE
Colorado,195264,FEMALE,2827696,FEMALE
Colorado,195264,AI/AN/NH/PI,44210,AI/AN/NH/PI
Connecticut,170839,TOTAL_POP,3572665,TOTAL_POP
Connecticut,170839,NH.WHITE,2376351,NH WHITE
Connecticut,170839,HISPANIC.WHITE,482929,NA
Connecticut,170839,NH.BLACK,364858,BLACK
Connecticut,170839,HISPANIC.BLACK,64440,NA
Connecticut,170839,NH.AI/AN,7758,AI/AN
Connecticut,170839,HISPANIC.AI/AN,12185,NA
Connecticut,170839,NH.ASIAN,169570,ASIAN
Connecticut,170839,HISPANIC.ASIAN,4229,NA
Connecticut,170839,NH.NH/PI,1269,NH/PI
Connecticut,170839,HISPANIC.NH/PI,2571,NA
