"","state_name","total_test","total_case","total_death","total_hosp","category","count","strata_type","data_type"
"1","Alabama",NA,11505,485,1390,"5-24",1180,"age","case"
"2","Alabama",NA,11505,485,1390,"65+",2860,"age","case"
"3","Alabama",NA,11505,485,1390,"0-4",95,"age","case"
"4","Alabama",NA,11505,485,1390,"50-64",2838,"age","case"
"5","Alabama",NA,11505,485,1390,"25-49",4513,"age","case"
"6","Alabama",NA,11505,485,1390,"UNKNOWN",19,"age","case"
"7","Alaska",33281,392,10,43,"0-10",9,"age","case"
"8","Alaska",33281,392,10,43,"10-19",24,"age","case"
"9","Alaska",33281,392,10,43,"20-29",68,"age","case"
"10","Alaska",33281,392,10,43,"30-39",76,"age","case"
"11","Alaska",33281,392,10,43,"40-49",57,"age","case"
"12","Alaska",33281,392,10,43,"50-59",70,"age","case"
"13","Alaska",33281,392,10,43,"60-69",55,"age","case"
"14","Alaska",33281,392,10,43,"70-79",25,"age","case"
"15","Alaska",33281,392,10,43,"80+",8,"age","case"
"16","Alaska",33281,392,10,43,"UNKNOWN",0,"age","case"
"17","Arizona",194504,13631,679,1683,"0-19",1081,"age","case"
"18","Arizona",194504,13631,679,1683,"20-44",5232,"age","case"
"19","Arizona",194504,13631,679,1683,"45-54",2297,"age","case"
"20","Arizona",194504,13631,679,1683,"55-64",2039,"age","case"
"21","Arizona",194504,13631,679,1683,"65+",2970,"age","case"
"22","Arizona",194504,13631,679,1683,"UNKNOWN",12,"age","case"
"23","Arkansas",93623,4578,98,520,"0-17",173,"age","case"
"24","Arkansas",93623,4578,98,520,"18-24",383,"age","case"
"25","Arkansas",93623,4578,98,520,"25-44",1724,"age","case"
"26","Arkansas",93623,4578,98,520,"45-64",1464,"age","case"
"27","Arkansas",93623,4578,98,520,"65+",719,"age","case"
"28","California",NA,76793,3119,NA,"0-17",3064,"age","case"
"29","California",NA,76793,3119,NA,"18-49",19467,"age","case"
"30","California",NA,76793,3119,NA,"50-64",19144,"age","case"
"31","California",NA,76793,3119,NA,"65+",18908,"age","case"
"32","Colorado",NA,19507,963,3251,"0-9",414,"age","case"
"33","Colorado",NA,19507,963,3251,"10-19",871,"age","case"
"34","Colorado",NA,19507,963,3251,"20-29",3271,"age","case"
"35","Colorado",NA,19507,963,3251,"30-39",3723,"age","case"
"36","Colorado",NA,19507,963,3251,"40-49",3739,"age","case"
"37","Colorado",NA,19507,963,3251,"50-59",3567,"age","case"
"38","Colorado",NA,19507,963,3251,"60-69",2603,"age","case"
"39","Colorado",NA,19507,963,3251,"70-79",1646,"age","case"
"40","Colorado",NA,19507,963,3251,"80+",1743,"age","case"
"41","Colorado",NA,19507,963,3251,"UNKNOWN",56,"age","case"
"42","Connecticut",164755,36703,3339,NA,"0-9",339,"age","case"
"43","Connecticut",164755,36703,3339,NA,"10-19",830,"age","case"
"44","Connecticut",164755,36703,3339,NA,"20-29",4037,"age","case"
"45","Connecticut",164755,36703,3339,NA,"30-39",5123,"age","case"
"46","Connecticut",164755,36703,3339,NA,"40-49",5251,"age","case"
"47","Connecticut",164755,36703,3339,NA,"50-59",6453,"age","case"
"48","Connecticut",164755,36703,3339,NA,"60-69",5457,"age","case"
"49","Connecticut",164755,36703,3339,NA,"70-79",3609,"age","case"
"50","Connecticut",164755,36703,3339,NA,"80+",5463,"age","case"
"51","Delaware",39758,7547,286,NA,"0-4",87,"age","case"
"52","Delaware",39758,7547,286,NA,"5-17",333,"age","case"
"53","Delaware",39758,7547,286,NA,"18-34",1958,"age","case"
"54","Delaware",39758,7547,286,NA,"35-49",1988,"age","case"
"55","Delaware",39758,7547,286,NA,"50-64",1780,"age","case"
"56","Delaware",39758,7547,286,NA,"65+",1401,"age","case"
"57","District of Columbia",35532,7042,375,NA,NA,NA,"age","case"
"58","Florida",630795,43607,1964,NA,"0-4",264,"age","case"
"59","Florida",630795,43607,1964,NA,"5-14",568,"age","case"
"60","Florida",630795,43607,1964,NA,"15-24",3407,"age","case"
"61","Florida",630795,43607,1964,NA,"25-34",6541,"age","case"
"62","Florida",630795,43607,1964,NA,"35-44",6521,"age","case"
"63","Florida",630795,43607,1964,NA,"45-54",7658,"age","case"
"64","Florida",630795,43607,1964,NA,"55-64",7320,"age","case"
"65","Florida",630795,43607,1964,NA,"65-74",5294,"age","case"
"66","Florida",630795,43607,1964,NA,"75-84",3598,"age","case"
"67","Florida",630795,43607,1964,NA,"85+",2423,"age","case"
"68","Florida",630795,43607,1964,NA,"UNKNOWN",13,"age","case"
"69","Georgia",NA,37212,1598,6767,NA,NA,"age","case"
"70","Hawaii",41788,639,17,82,"0-19",33,"age","case"
"71","Hawaii",41788,639,17,82,"20-39",214,"age","case"
"72","Hawaii",41788,639,17,82,"40-59",221,"age","case"
"73","Hawaii",41788,639,17,82,"60+",171,"age","case"
"74","Idaho",36456,2419,73,213,"0-17",112,"age","case"
"75","Idaho",36456,2419,73,213,"18-29",500,"age","case"
"76","Idaho",36456,2419,73,213,"30-39",390,"age","case"
"77","Idaho",36456,2419,73,213,"40-49",394,"age","case"
"78","Idaho",36456,2419,73,213,"50-59",394,"age","case"
"79","Idaho",36456,2419,73,213,"60-69",295,"age","case"
"80","Idaho",36456,2419,73,213,"70-79",170,"age","case"
"81","Idaho",36456,2419,73,213,"80+",161,"age","case"
"82","Illinois",561649,92457,4129,NA,"0-20",4951,"age","case"
"83","Illinois",561649,92457,4129,NA,"20-29",13886,"age","case"
"84","Illinois",561649,92457,4129,NA,"30-39",15111,"age","case"
"85","Illinois",561649,92457,4129,NA,"40-49",16838,"age","case"
"86","Illinois",561649,92457,4129,NA,"50-59",16761,"age","case"
"87","Illinois",561649,92457,4129,NA,"60-69",11690,"age","case"
"88","Illinois",561649,92457,4129,NA,"70-79",6566,"age","case"
"89","Illinois",561649,92457,4129,NA,"80+",6592,"age","case"
"90","Illinois",561649,92457,4129,NA,"UNKNOWN",62,"age","case"
"91","Indiana",171358,27280,1596,NA,"0-19",947,"age","case"
"92","Indiana",171358,27280,1596,NA,"20-29",3691,"age","case"
"93","Indiana",171358,27280,1596,NA,"30-39",4290,"age","case"
"94","Indiana",171358,27280,1596,NA,"40-49",4649,"age","case"
"95","Indiana",171358,27280,1596,NA,"50-59",4724,"age","case"
"96","Indiana",171358,27280,1596,NA,"60-69",3650,"age","case"
"97","Indiana",171358,27280,1596,NA,"70-79",2367,"age","case"
"98","Indiana",171358,27280,1596,NA,"80+",2939,"age","case"
"99","Indiana",171358,27280,1596,NA,"UNKNOWN",23,"age","case"
"100","Iowa",96300,14328,346,NA,"0-17",0.03,"age","case"
"101","Iowa",96300,14328,346,NA,"18-40",0.42,"age","case"
"102","Iowa",96300,14328,346,NA,"41-60",0.37,"age","case"
"103","Iowa",96300,14328,346,NA,"61-80",0.14,"age","case"
"104","Iowa",96300,14328,346,NA,"80+",0.05,"age","case"
"105","Kansas",61488,7886,172,724,"0-9",152,"age","case"
"106","Kansas",61488,7886,172,724,"10-17",234,"age","case"
"107","Kansas",61488,7886,172,724,"18-24",944,"age","case"
"108","Kansas",61488,7886,172,724,"25-34",1503,"age","case"
"109","Kansas",61488,7886,172,724,"35-44",1502,"age","case"
"110","Kansas",61488,7886,172,724,"45-54",1420,"age","case"
"111","Kansas",61488,7886,172,724,"55-64",1146,"age","case"
"112","Kansas",61488,7886,172,724,"65-74",498,"age","case"
"113","Kansas",61488,7886,172,724,"75-84",256,"age","case"
"114","Kansas",61488,7886,172,724,"85+",217,"age","case"
"115","Kansas",61488,7886,172,724,"UNKNOWN",14,"age","case"
"116","Kentucky",129405,7688,334,1504,"0-9",104,"age","case"
"117","Kentucky",129405,7688,334,1504,"10-19",244,"age","case"
"118","Kentucky",129405,7688,334,1504,"20-29",1019,"age","case"
"119","Kentucky",129405,7688,334,1504,"30-39",1189,"age","case"
"120","Kentucky",129405,7688,334,1504,"40-49",1249,"age","case"
"121","Kentucky",129405,7688,334,1504,"50-59",1158,"age","case"
"122","Kentucky",129405,7688,334,1504,"60-69",927,"age","case"
"123","Kentucky",129405,7688,334,1504,"70-79",623,"age","case"
"124","Kentucky",129405,7688,334,1504,"80+",643,"age","case"
"125","Kentucky",129405,7688,334,1504,"UNKNOWN",532,"age","case"
"126","Louisiana",259742,34117,2413,NA,"0-18",570,"age","case"
"127","Louisiana",259742,34117,2413,NA,"18-29",4142,"age","case"
"128","Louisiana",259742,34117,2413,NA,"30-39",5417,"age","case"
"129","Louisiana",259742,34117,2413,NA,"40-49",5688,"age","case"
"130","Louisiana",259742,34117,2413,NA,"50-59",6408,"age","case"
"131","Louisiana",259742,34117,2413,NA,"60-69",5557,"age","case"
"132","Louisiana",259742,34117,2413,NA,"70+",6335,"age","case"
"133","Maine",NA,1648,70,214,"0-20",54,"age","case"
"134","Maine",NA,1648,70,214,"20-29",194,"age","case"
"135","Maine",NA,1648,70,214,"30-39",201,"age","case"
"136","Maine",NA,1648,70,214,"40-49",257,"age","case"
"137","Maine",NA,1648,70,214,"50-59",317,"age","case"
"138","Maine",NA,1648,70,214,"60-69",260,"age","case"
