"","state_name","category","count","last_update","strata_type","data_type","metric"
"1","Alabama","ASIAN","73","05/19/2020","race","case","count"
"2","Alabama","BLACK","5051","05/19/2020","race","case","count"
"3","Alabama","OTHER","500","05/19/2020","race","case","count"
"4","Alabama","UNKNOWN","1715","05/19/2020","race","case","count"
"5","Alabama","WHITE","5292","05/19/2020","race","case","count"
"6","Alabama","5-24","1352","05/19/2020","age","case","count"
"7","Alabama","65+","3088","05/19/2020","age","case","count"
"8","Alabama","0-4","110","05/19/2020","age","case","count"
"9","Alabama","50-64","3083","05/19/2020","age","case","count"
"10","Alabama","25-49","4990","05/19/2020","age","case","count"
"11","Alabama","UNKNOWN","8","05/19/2020","age","case","count"
"12","Alabama","FEMALE","7309","05/19/2020","gender","case","count"
"13","Alabama","MALE","5215","05/19/2020","gender","case","count"
"14","Alabama","UNKNOWN/OTHER","107","05/19/2020","gender","case","count"
"15","Alabama","ASIAN","3","05/19/2020","race","death","count"
"16","Alabama","BLACK","222","05/19/2020","race","death","count"
"17","Alabama","OTHER","6","05/19/2020","race","death","count"
"18","Alabama","UNKNOWN","18","05/19/2020","race","death","count"
"19","Alabama","WHITE","260","05/19/2020","race","death","count"
"20","Alabama","65+","412","05/19/2020","age","death","count"
"21","Alabama","50-64","84","05/19/2020","age","death","count"
"22","Alabama","25-49","13","05/19/2020","age","death","count"
"23","Alabama","FEMALE","228","05/19/2020","gender","death","count"
"24","Alabama","MALE","280","05/19/2020","gender","death","count"
"25","Alabama",NA,"12631","05/19/2020","total","case","count"
"26","Alabama","Unknown","2387","05/19/2020","eth","case","count"
"27","Alabama","Not Hispanic/Latino","9198","05/19/2020","eth","case","count"
"28","Alabama","Hispanic/Latino","1046","05/19/2020","eth","case","count"
"29","Alabama","ICU","523","05/19/2020","CLN","extra","count"
"30","Alabama","VENT","310","05/19/2020","CLN","extra","count"
"31","Alabama",NA,"1739","05/19/2020","HCW","extra","count"
"32","Alabama","Employee","801","05/19/2020","LTCF","extra","count"
"33","Alabama","Resident","1223","05/19/2020","LTCF","extra","count"
"34","Alabama","Visitor","47","05/19/2020","LTCF","extra","count"
"35","Alabama","total","x (death, in pdf)","05/19/2020","comorbidities","comorbidities","count"
"36","Alaska","AI/AN","30","05/18/2020","race","case","count"
"37","Alaska","ASIAN","46","05/18/2020","race","case","count"
"38","Alaska","BLACK","9","05/18/2020","race","case","count"
"39","Alaska","MULTI","15","05/18/2020","race","case","count"
"40","Alaska","NH/PI","14","05/18/2020","race","case","count"
"41","Alaska","OTHER","12","05/18/2020","race","case","count"
"42","Alaska","UNKNOWN","14","05/18/2020","race","case","count"
"43","Alaska","WHITE","259","05/18/2020","race","case","count"
"44","Alaska","0-10","9","05/18/2020","age","case","count"
"45","Alaska","10-19","26","05/18/2020","age","case","count"
"46","Alaska","20-29","69","05/18/2020","age","case","count"
"47","Alaska","30-39","79","05/18/2020","age","case","count"
"48","Alaska","40-49","57","05/18/2020","age","case","count"
"49","Alaska","50-59","71","05/18/2020","age","case","count"
"50","Alaska","60-69","55","05/18/2020","age","case","count"
"51","Alaska","70-79","25","05/18/2020","age","case","count"
"52","Alaska","80+","8","05/18/2020","age","case","count"
"53","Alaska","UNKNOWN","0","05/18/2020","age","case","count"
"54","Alaska","FEMALE","196","05/18/2020","gender","case","count"
"55","Alaska","MALE","203","05/18/2020","gender","case","count"
"56","Alaska","UNKNOWN/OTHER","0","05/18/2020","gender","case","count"
"57","Alaska","AI/AN","2","05/18/2020","race","death","count"
"58","Alaska","ASIAN","2","05/18/2020","race","death","count"
"59","Alaska","BLACK","0","05/18/2020","race","death","count"
"60","Alaska","MULTI","0","05/18/2020","race","death","count"
"61","Alaska","NH/PI","1","05/18/2020","race","death","count"
"62","Alaska","OTHER","0","05/18/2020","race","death","count"
