"","state_name","total_test","total_case","total_death","total_hosp","category","count","strata_type","data_type"
"1","Alabama",NA,11101,473,1364,"5-24",1127,"age","case"
"2","Alabama",NA,11101,473,1364,"65+",2778,"age","case"
"3","Alabama",NA,11101,473,1364,"0-4",89,"age","case"
"4","Alabama",NA,11101,473,1364,"50-64",2760,"age","case"
"5","Alabama",NA,11101,473,1364,"25-49",4338,"age","case"
"6","Alabama",NA,11101,473,1364,"UNKNOWN",9,"age","case"
"7","Alaska",31762,387,10,39,"0-10",9,"age","case"
"8","Alaska",31762,387,10,39,"10-19",23,"age","case"
"9","Alaska",31762,387,10,39,"20-29",67,"age","case"
"10","Alaska",31762,387,10,39,"30-39",75,"age","case"
"11","Alaska",31762,387,10,39,"40-49",56,"age","case"
"12","Alaska",31762,387,10,39,"50-59",69,"age","case"
"13","Alaska",31762,387,10,39,"60-69",55,"age","case"
"14","Alaska",31762,387,10,39,"70-79",25,"age","case"
"15","Alaska",31762,387,10,39,"80+",8,"age","case"
"16","Alaska",31762,387,10,39,"UNKNOWN",0,"age","case"
"17","Arizona",175455,12674,624,1636,"0-19",972,"age","case"
"18","Arizona",175455,12674,624,1636,"20-44",4835,"age","case"
"19","Arizona",175455,12674,624,1636,"45-54",2136,"age","case"
"20","Arizona",175455,12674,624,1636,"55-64",1915,"age","case"
"21","Arizona",175455,12674,624,1636,"65+",2807,"age","case"
"22","Arizona",175455,12674,624,1636,"UNKNOWN",9,"age","case"
"23","Arkansas",87574,4366,98,509,"0-17",151,"age","case"
"24","Arkansas",87574,4366,98,509,"18-24",359,"age","case"
"25","Arkansas",87574,4366,98,509,"25-44",1640,"age","case"
"26","Arkansas",87574,4366,98,509,"45-64",1414,"age","case"
"27","Arkansas",87574,4366,98,509,"65+",672,"age","case"
"28","California",NA,73164,2926,NA,"0-17",2799,"age","case"
"29","California",NA,73164,2926,NA,"18-49",18334,"age","case"
"30","California",NA,73164,2926,NA,"50-64",18268,"age","case"
"31","California",NA,73164,2926,NA,"65+",18154,"age","case"
"32","Colorado",NA,18804,906,558,"0-9",370,"age","case"
"33","Colorado",NA,18804,906,558,"10-19",800,"age","case"
"34","Colorado",NA,18804,906,558,"20-29",3129,"age","case"
"35","Colorado",NA,18804,906,558,"30-39",3580,"age","case"
"36","Colorado",NA,18804,906,558,"40-49",3603,"age","case"
"37","Colorado",NA,18804,906,558,"50-59",3478,"age","case"
"38","Colorado",NA,18804,906,558,"60-69",2532,"age","case"
"39","Colorado",NA,18804,906,558,"70-79",1602,"age","case"
"40","Colorado",NA,18804,906,558,"80+",1690,"age","case"
"41","Colorado",NA,18804,906,558,"UNKNOWN",54,"age","case"
"42","Connecticut",149562,35464,3219,NA,"0-9",328,"age","case"
"43","Connecticut",149562,35464,3219,NA,"10-19",789,"age","case"
"44","Connecticut",149562,35464,3219,NA,"20-29",3866,"age","case"
