state_name,total_test,total_case,total_death,total_hosp,category,raw,strata_type,data_type
Alabama,NA,12302,494,1432,5-24,1303,age,case
Alabama,NA,12302,494,1432,65+,3012,age,case
Alabama,NA,12302,494,1432,0-4,105,age,case
Alabama,NA,12302,494,1432,50-64,3009,age,case
Alabama,NA,12302,494,1432,25-49,4860,age,case
Alabama,NA,12302,494,1432,UNKNOWN,13,age,case
Alaska,35611,399,10,43,0-10,9,age,case
Alaska,35611,399,10,43,10-19,26,age,case
Alaska,35611,399,10,43,20-29,69,age,case
Alaska,35611,399,10,43,30-39,79,age,case
Alaska,35611,399,10,43,40-49,57,age,case
Alaska,35611,399,10,43,50-59,71,age,case
Alaska,35611,399,10,43,60-69,55,age,case
Alaska,35611,399,10,43,70-79,25,age,case
Alaska,35611,399,10,43,80+,8,age,case
Alaska,35611,399,10,43,UNKNOWN,0,age,case
Arizona,212784,14170,686,1717,0-19,1134,age,case
Arizona,212784,14170,686,1717,20-44,5483,age,case
Arizona,212784,14170,686,1717,45-54,2383,age,case
Arizona,212784,14170,686,1717,55-64,2121,age,case
Arizona,212784,14170,686,1717,65+,3038,age,case
Arizona,212784,14170,686,1717,UNKNOWN,11,age,case
Arkansas,99173,4813,100,535,0-17,193,age,case
Arkansas,99173,4813,100,535,18-24,416,age,case
Arkansas,99173,4813,100,535,25-44,1899,age,case
Arkansas,99173,4813,100,535,45-64,1565,age,case
Arkansas,99173,4813,100,535,65+,740,age,case
California,NA,80430,3216,NA,0-17,3335,age,case
California,NA,80430,3216,NA,18-49,20496,age,case
California,NA,80430,3216,NA,50-64,20043,age,case
California,NA,80430,3216,NA,65+,19703,age,case
Colorado,NA,20028,975,3275,0-9,443,age,case
Colorado,NA,20028,975,3275,10-19,904,age,case
Colorado,NA,20028,975,3275,20-29,3375,age,case
Colorado,NA,20028,975,3275,30-39,3816,age,case
Colorado,NA,20028,975,3275,40-49,3852,age,case
Colorado,NA,20028,975,3275,50-59,3653,age,case
Colorado,NA,20028,975,3275,60-69,2650,age,case
Colorado,NA,20028,975,3275,70-79,1676,age,case
Colorado,NA,20028,975,3275,80+,1778,age,case
Colorado,NA,20028,975,3275,UNKNOWN,55,age,case
Connecticut,177679,38116,3449,NA,0-9,376,age,case
Connecticut,177679,38116,3449,NA,10-19,900,age,case
Connecticut,177679,38116,3449,NA,20-29,4247,age,case
Connecticut,177679,38116,3449,NA,30-39,5297,age,case
Connecticut,177679,38116,3449,NA,40-49,5427,age,case
Connecticut,177679,38116,3449,NA,50-59,6690,age,case
Connecticut,177679,38116,3449,NA,60-69,5620,age,case
Connecticut,177679,38116,3449,NA,70-79,3742,age,case
Connecticut,177679,38116,3449,NA,80+,5681,age,case
Delaware,42458,7869,297,NA,0-4,92,age,case
Delaware,42458,7869,297,NA,5-17,359,age,case
Delaware,42458,7869,297,NA,18-34,2032,age,case
Delaware,42458,7869,297,NA,35-49,2050,age,case
Delaware,42458,7869,297,NA,50-64,1858,age,case
Delaware,42458,7869,297,NA,65+,1478,age,case
Florida,677710,45208,1997,NA,0-4,290,age,case
Florida,677710,45208,1997,NA,5-14,629,age,case
Florida,677710,45208,1997,NA,15-24,3577,age,case
Florida,677710,45208,1997,NA,25-34,6812,age,case
Florida,677710,45208,1997,NA,35-44,6786,age,case
Florida,677710,45208,1997,NA,45-54,7890,age,case
Florida,677710,45208,1997,NA,55-64,7543,age,case
Florida,677710,45208,1997,NA,65-74,5439,age,case
Florida,677710,45208,1997,NA,75-84,3706,age,case
Florida,677710,45208,1997,NA,85+,2525,age,case
Florida,677710,45208,1997,NA,UNKNOWN,11,age,case
Georgia,NA,38283,1649,6992,NA,NA,age,case
Hawaii,45023,640,17,82,0-19,33,age,case
Hawaii,45023,640,17,82,20-39,214,age,case
Hawaii,45023,640,17,82,40-59,222,age,case
Hawaii,45023,640,17,82,60+,171,age,case
Idaho,37847,2455,74,213,0-17,115,age,case
Idaho,37847,2455,74,213,18-29,512,age,case
Idaho,37847,2455,74,213,30-39,396,age,case
Idaho,37847,2455,74,213,40-49,402,age,case
Idaho,37847,2455,74,213,50-59,399,age,case
Idaho,37847,2455,74,213,60-69,295,age,case
Idaho,37847,2455,74,213,70-79,171,age,case
Idaho,37847,2455,74,213,80+,163,age,case
Illinois,603241,96485,4234,NA,0-20,5340,age,case
Illinois,603241,96485,4234,NA,20-29,14636,age,case
Illinois,603241,96485,4234,NA,30-39,15885,age,case
Illinois,603241,96485,4234,NA,40-49,17557,age,case
Illinois,603241,96485,4234,NA,50-59,17348,age,case
Illinois,603241,96485,4234,NA,60-69,12094,age,case
Illinois,603241,96485,4234,NA,70-79,6772,age,case
Illinois,603241,96485,4234,NA,80+,6786,age,case
Illinois,603241,96485,4234,NA,UNKNOWN,67,age,case
Indiana,183912,28255,1621,NA,0-19,1020,age,case
Indiana,183912,28255,1621,NA,20-29,3850,age,case
Indiana,183912,28255,1621,NA,30-39,4480,age,case
Indiana,183912,28255,1621,NA,40-49,4811,age,case
Indiana,183912,28255,1621,NA,50-59,4880,age,case
Indiana,183912,28255,1621,NA,60-69,3748,age,case
Indiana,183912,28255,1621,NA,70-79,2434,age,case
