"state_name","category","count","last_update","strata_type","data_type","metric","pop"
"Alabama","ASIAN","75","5/20/20","race","case","count",NA
"Alabama","BLACK","5240","5/20/20","race","case","count",NA
"Alabama","OTHER","529","5/20/20","race","case","count",NA
"Alabama","UNKNOWN","1779","5/20/20","race","case","count",NA
"Alabama","WHITE","5408","5/20/20","race","case","count",NA
"Alabama","5-24","1407","5/20/20","age","case","count",1249295
"Alabama","65+","3182","5/20/20","age","case","count",826894
"Alabama","0-4","116","5/20/20","age","case","count",293203
"Alabama","50-64","3156","5/20/20","age","case","count",969671
"Alabama","25-49","5162","5/20/20","age","case","count",1548808
"Alabama","UNKNOWN","8","5/20/20","age","case","count",NA
"Alabama","FEMALE","7552","5/20/20","gender","case","count",2523756
"Alabama","MALE","5371","5/20/20","gender","case","count",2364115
"Alabama","UNKNOWN/OTHER","108","5/20/20","gender","case","count",NA
"Alabama","ASIAN","3","5/20/20","race","death","count",NA
"Alabama","BLACK","226","5/20/20","race","death","count",NA
"Alabama","OTHER","7","5/20/20","race","death","count",NA
"Alabama","UNKNOWN","19","5/20/20","race","death","count",NA
"Alabama","WHITE","267","5/20/20","race","death","count",NA
"Alabama","65+","424","5/20/20","age","death","count",826894
"Alabama","50-64","84","5/20/20","age","death","count",969671
"Alabama","25-49","14","5/20/20","age","death","count",1548808
"Alabama","FEMALE","236","5/20/20","gender","death","count",2523756
"Alabama","MALE","285","5/20/20","gender","death","count",2364115
"Alabama",NA,"13031","5/20/20","total","case","count",4887871
"Alabama","UNKNOWN","2477","5/20/20","eth","case","count",NA
"Alabama","NOT HISPANIC/LATINO","9464","5/20/20","eth","case","count",NA
"Alabama","HISPANIC/LATINO","1090","5/20/20","eth","case","count",NA
"Alabama",NA,"522","5/20/20","total","death","count",4887871
"Alabama","UNKNOWN","63","5/20/20","eth","death","count",NA
"Alabama","NOT HISPANIC/LATINO","447","5/20/20","eth","death","count",NA
"Alabama","HISPANIC/LATINO","12","5/20/20","eth","death","count",NA
"Alabama",NA,"1523","5/20/20","total","hosp","count",4887871
"Alabama","ICU","526","5/20/20","CLN","extra","count",NA
"Alabama","VENT","311","5/20/20","CLN","extra","count",NA
"Alabama",NA,"1786","5/20/20","HCW","extra","count",NA
"Alabama","EMPLOYEE","823","5/20/20","LTCF","extra","count",NA
"Alabama","RESIDENT","1260","5/20/20","LTCF","extra","count",NA
"Alabama","VISITOR","48","5/20/20","LTCF","extra","count",NA
"Alaska","AI/AN","31","5/19/20","race","case","count",NA
"Alaska","ASIAN","46","5/19/20","race","case","count",NA
"Alaska","BLACK","9","5/19/20","race","case","count",NA
"Alaska","MULTI","14","5/19/20","race","case","count",NA
"Alaska","NH/PI","14","5/19/20","race","case","count",NA
"Alaska","OTHER","12","5/19/20","race","case","count",NA
"Alaska","UNKNOWN","15","5/19/20","race","case","count",NA
"Alaska","WHITE","261","5/19/20","race","case","count",NA
"Alaska","0-10","9","5/19/20","age","case","count",115416
"Alaska","10-19","26","5/19/20","age","case","count",96022
"Alaska","20-29","69","5/19/20","age","case","count",114672
"Alaska","30-39","80","5/19/20","age","case","count",108865
"Alaska","40-49","57","5/19/20","age","case","count",86536
"Alaska","50-59","71","5/19/20","age","case","count",93805
"Alaska","60-69","55","5/19/20","age","case","count",80434
"Alaska","70-79","27","5/19/20","age","case","count",37370
"Alaska","80+","8","5/19/20","age","case","count",14563
"Alaska","UNKNOWN","0","5/19/20","age","case","count",NA
"Alaska","FEMALE","197","5/19/20","gender","case","count",352865
"Alaska","MALE","205","5/19/20","gender","case","count",384573
"Alaska","UNKNOWN/OTHER","0","5/19/20","gender","case","count",NA
"Alaska","AI/AN","2","5/19/20","race","death","count",NA
"Alaska","ASIAN","2","5/19/20","race","death","count",NA
"Alaska","BLACK","0","5/19/20","race","death","count",NA
"Alaska","MULTI","0","5/19/20","race","death","count",NA
"Alaska","NH/PI","1","5/19/20","race","death","count",NA
"Alaska","OTHER","0","5/19/20","race","death","count",NA
"Alaska","UNKNOWN","0","5/19/20","race","death","count",NA
