"state_name","category","count","last_update","strata_type","data_type","metric","pop_est"
"Alabama","ASIAN","76","05/21/2020","race","case","count",NA
"Alabama","BLACK","5430","05/21/2020","race","case","count",NA
"Alabama","OTHER","542","05/21/2020","race","case","count",NA
"Alabama","UNKNOWN","1827","05/21/2020","race","case","count",NA
"Alabama","WHITE","5498","05/21/2020","race","case","count",NA
"Alabama","5-24","1456","05/21/2020","age","case","count",1249295
"Alabama","65+","3234","05/21/2020","age","case","count",826894
"Alabama","0-4","121","05/21/2020","age","case","count",293203
"Alabama","50-64","3250","05/21/2020","age","case","count",969671
"Alabama","25-49","5303","05/21/2020","age","case","count",1548808
"Alabama","UNKNOWN","9","05/21/2020","age","case","count",NA
"Alabama","FEMALE","7732","05/21/2020","gender","case","count",2523756
"Alabama","MALE","5529","05/21/2020","gender","case","count",2364115
"Alabama","UNKNOWN/OTHER","112","05/21/2020","gender","case","count",NA
"Alabama","ASIAN","3","05/21/2020","race","death","count",NA
"Alabama","BLACK","229","05/21/2020","race","death","count",NA
"Alabama","OTHER","7","05/21/2020","race","death","count",NA
"Alabama","UNKNOWN","21","05/21/2020","race","death","count",NA
"Alabama","WHITE","271","05/21/2020","race","death","count",NA
"Alabama","65+","432","05/21/2020","age","death","count",826894
"Alabama","50-64","84","05/21/2020","age","death","count",969671
"Alabama","25-49","15","05/21/2020","age","death","count",1548808
"Alabama","FEMALE","239","05/21/2020","gender","death","count",2523756
"Alabama","MALE","290","05/21/2020","gender","death","count",2364115
"Alabama","","13373","05/21/2020","total","case","count",4887871
"Alabama","UNKNOWN","2553","05/21/2020","eth","case","count",NA
"Alabama","NON HISPANIC","9692","05/21/2020","eth","case","count",4670690
"Alabama","HISPANIC","1128","05/21/2020","eth","case","count",217181
"Alabama","","531","05/21/2020","total","death","count",4887871
"Alabama","UNKNOWN","67","05/21/2020","eth","death","count",NA
"Alabama","NON HISPANIC","452","05/21/2020","eth","death","count",4670690
"Alabama","HISPANIC","12","05/21/2020","eth","death","count",217181
"Alabama","","1549","05/21/2020","total","hosp","count",4887871
"Alaska","AI/AN","31","05/20/2020","race","case","count",NA
"Alaska","ASIAN","46","05/20/2020","race","case","count",NA
"Alaska","BLACK","9","05/20/2020","race","case","count",NA
"Alaska","MULTI","14","05/20/2020","race","case","count",NA
"Alaska","NH/PI","14","05/20/2020","race","case","count",NA
"Alaska","OTHER","12","05/20/2020","race","case","count",NA
"Alaska","UNKNOWN","15","05/20/2020","race","case","count",NA
"Alaska","WHITE","261","05/20/2020","race","case","count",NA
"Alaska","0-10","9","05/20/2020","age","case","count",115416
"Alaska","10-19","26","05/20/2020","age","case","count",96022
"Alaska","20-29","69","05/20/2020","age","case","count",114672
"Alaska","30-39","80","05/20/2020","age","case","count",108865
"Alaska","40-49","57","05/20/2020","age","case","count",86536
"Alaska","50-59","71","05/20/2020","age","case","count",93805
