state_name,category,count,last_update,strata_type,data_type,metric,pop_est,count2,normalized
Alabama,ASIAN,86,6/5/20,race,case,Count,73167,86,117.5393278
Alabama,BLACK,8049,6/5/20,race,case,Count,1310802,8049,614.0515501
Alabama,OTHER,859,6/5/20,race,case,Count,NA,859,NA
Alabama,UNKNOWN,2847,6/5/20,race,case,Count,NA,2847,NA
Alabama,WHITE,7232,6/5/20,race,case,Count,3379955,7232,213.9673457
Alabama,25-49,7798,6/5/20,age,case,Count,1548808,7798,503.4839696
Alabama,0-4,250,6/5/20,age,case,Count,293203,250,85.26515759
Alabama,24-May,2473,6/5/20,age,case,Count,1249295,2473,197.9516447
Alabama,50-64,4446,6/5/20,age,case,Count,969671,4446,458.5060294
Alabama,65+,4101,6/5/20,age,case,Count,826894,4101,495.9523228
Alabama,UNKNOWN,5,6/5/20,age,case,Count,NA,5,NA
Alabama,FEMALE,11004,6/5/20,gender,case,Count,2523756,11004,436.016794
Alabama,MALE,7940,6/5/20,gender,case,Count,2364115,7940,335.8550663
Alabama,UNKNOWN/OTHER,129,6/5/20,gender,case,Count,NA,129,NA
Alabama,ASIAN,4,6/5/20,race,death,Count,73167,4,5.466945481
Alabama,BLACK,295,6/5/20,race,death,Count,1310802,295,22.50530591
Alabama,OTHER,9,6/5/20,race,death,Count,NA,9,NA
Alabama,UNKNOWN,25,6/5/20,race,death,Count,NA,25,NA
Alabama,WHITE,339,6/5/20,race,death,Count,3379955,339,10.02971933
Alabama,25-49,22,6/5/20,age,death,Count,1548808,22,1.420447208
Alabama,0-4,1,6/5/20,age,death,Count,293203,1,0.34106063
Alabama,50-64,111,6/5/20,age,death,Count,969671,111,11.44718157
Alabama,65+,538,6/5/20,age,death,Count,826894,538,65.0627529
Alabama,FEMALE,310,6/5/20,gender,death,Count,2523756,310,12.28327937
Alabama,MALE,360,6/5/20,gender,death,Count,2364115,360,15.22768562
Alabama,,239159,6/5/20,total,test,Count,4887871,239159,4892.907362
Alabama,,19073,6/5/20,total,case,Count,4887871,19073,390.2107891
Alabama,NON HISPANIC,13363,6/5/20,eth,case,Count,4670690,13363,286.1033381
Alabama,UNKNOWN,3962,6/5/20,eth,case,Count,NA,3962,NA
Alabama,HISPANIC,1748,6/5/20,eth,case,Count,217181,1748,804.8586202
Alabama,,672,6/5/20,total,death,Count,4887871,672,13.74831701
Alabama,NON HISPANIC,584,6/5/20,eth,death,Count,4670690,584,12.50350591
Alabama,UNKNOWN,74,6/5/20,eth,death,Count,NA,74,NA
Alabama,HISPANIC,14,6/5/20,eth,death,Count,217181,14,6.446236089
Alabama,,7112,6/5/20,total,hosp,Count,4887871,7112,145.5030217
Alaska,AI/AN,59,6/3/20,race,case,Count,113516,59,51.97505198
Alaska,ASIAN,51,6/3/20,race,case,Count,49025,51,104.0285569
Alaska,BLACK,15,6/3/20,race,case,Count,27942,15,53.6826283
Alaska,MULTI,19,6/3/20,race,case,Count,54855,19,34.63676967
Alaska,NH/PI,16,6/3/20,race,case,Count,10221,16,156.5404559
Alaska,OTHER,12,6/3/20,race,case,Count,NA,12,NA
Alaska,UNKNOWN,34,6/3/20,race,case,Count,NA,34,NA
Alaska,WHITE,318,6/3/20,race,case,Count,481879,318,65.99167011
Alaska,0-9,16,6/3/20,age,case,Count,105171,16,15.21331926
Alaska,19-Oct,41,6/3/20,age,case,Count,96022,41,42.69854825
Alaska,20-29,93,6/3/20,age,case,Count,114672,93,81.10087903
Alaska,30-39,99,6/3/20,age,case,Count,108865,99,90.9383181
Alaska,40-49,68,6/3/20,age,case,Count,86536,68,78.58001294
Alaska,50-59,93,6/3/20,age,case,Count,93805,93,99.14183679
Alaska,60-69,65,6/3/20,age,case,Count,80434,65,80.81159709
Alaska,70-79,34,6/3/20,age,case,Count,37370,34,90.98207118
Alaska,80+,15,6/3/20,age,case,Count,14563,15,103.0007553
Alaska,UNKNOWN,0,6/3/20,age,case,Count,NA,0,NA
Alaska,FEMALE,262,6/3/20,gender,case,Count,352865,262,74.24935882
Alaska,MALE,262,6/3/20,gender,case,Count,384573,262,68.12750765
Alaska,UNKNOWN/OTHER,0,6/3/20,gender,case,Count,NA,0,NA
Alaska,AI/AN,2,6/3/20,race,death,Count,113516,2,1.761866169
Alaska,ASIAN,2,6/3/20,race,death,Count,49025,2,4.079551249
Alaska,BLACK,0,6/3/20,race,death,Count,27942,0,0
Alaska,MULTI,0,6/3/20,race,death,Count,54855,0,0
