"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",161,"06/29/20","race","case","Count",73167,161,220.044555605669
"Alabama","BLACK",13740,"06/29/20","race","case","Count",1310802,13740,1048.21323128894
"Alabama","OTHER",2127,"06/29/20","race","case","Count",NA,2127,NA
"Alabama","UNKNOWN",7926,"06/29/20","race","case","Count",NA,7926,NA
"Alabama","WHITE",12728,"06/29/20","race","case","Count",3379955,12728,376.573060883947
"Alabama","25-49",15123,"06/29/20","age","case","Count",1548808,15123,976.428324233862
"Alabama","5-24",6536,"06/29/20","age","case","Count",1249295,6536,523.175070739897
"Alabama","65+",6510,"06/29/20","age","case","Count",826894,6510,787.283497038314
"Alabama","0-4",617,"06/29/20","age","case","Count",293203,617,210.434408924875
"Alabama","50-64",7624,"06/29/20","age","case","Count",969671,7624,786.246056652205
"Alabama","UNKNOWN",272,"06/29/20","age","case","Count",NA,272,NA
"Alabama","FEMALE",20674,"06/29/20","gender","case","Count",2523756,20674,819.175863276799
"Alabama","MALE",15728,"06/29/20","gender","case","Count",2364115,15728,665.280665280665
"Alabama","UNKNOWN",280,"06/29/20","gender","case","Count",NA,280,NA
"Alabama","ASIAN",4,"06/29/20","race","death","Count",73167,4,5.46694548088619
"Alabama","BLACK",417,"06/29/20","race","death","Count",1310802,417,31.812584967066
"Alabama","OTHER",13,"06/29/20","race","death","Count",NA,13,NA
"Alabama","UNKNOWN",27,"06/29/20","race","death","Count",NA,27,NA
"Alabama","WHITE",444,"06/29/20","race","death","Count",3379955,444,13.1362695657191
"Alabama","25-49",38,"06/29/20","age","death","Count",1548808,38,2.45349972365845
"Alabama","5-24",2,"06/29/20","age","death","Count",1249295,2,0.160090290924081
"Alabama","65+",708,"06/29/20","age","death","Count",826894,708,85.6216153461024
"Alabama","0-4",2,"06/29/20","age","death","Count",293203,2,0.682121260696514
"Alabama","50-64",155,"06/29/20","age","death","Count",969671,155,15.9848030930078
"Alabama","FEMALE",439,"06/29/20","gender","death","Count",2523756,439,17.394708521743
"Alabama","MALE",463,"06/29/20","gender","death","Count",2364115,463,19.5844956780867
"Alabama","",392800,"06/29/20","total","test","Count",4887871,392800,8036.21863179286
"Alabama","",37175,"06/29/20","total","case","Count",4887871,37175,760.556078505345
"Alabama","HISPANIC",3712,"06/29/20","eth","case","Count",217181,3712,1709.17345439979
"Alabama","NON HISPANIC",22709,"06/29/20","eth","case","Count",4670690,22709,486.202252772074
"Alabama","UNKNOWN",10261,"06/29/20","eth","case","Count",NA,10261,NA
"Alabama","",929,"06/29/20","total","death","Count",4887871,929,19.0062299107321
"Alabama","HISPANIC",24,"06/29/20","eth","death","Count",217181,24,11.0506904379297
"Alabama","NON HISPANIC",790,"06/29/20","eth","death","Count",4670690,790,16.9139891536368
"Alabama","UNKNOWN",91,"06/29/20","eth","death","Count",NA,91,NA
"Alabama","",2725,"06/29/20","total","hosp","Count",4887871,2725,55.7502438178094
"Alaska","AI/AN",102,"06/28/20","race","case","Count",113516,102,89.8551746009373
"Alaska","ASIAN",60,"06/28/20","race","case","Count",49025,60,122.386537480877
"Alaska","BLACK",23,"06/28/20","race","case","Count",27942,23,82.3133633956052
"Alaska","HN/PI",25,"06/28/20","race","case","Count",10221,25,244.594462381372
"Alaska","MULTI",32,"06/28/20","race","case","Count",54855,32,58.3356120681797
"Alaska","OTHER",17,"06/28/20","race","case","Count",NA,17,NA
"Alaska","UNKNOWN",152,"06/28/20","race","case","Count",NA,152,NA
"Alaska","WHITE",493,"06/28/20","race","case","Count",481879,493,102.307840765005
"Alaska","0-9",33,"06/28/20","age","case","Count",105171,33,31.3774709758393
"Alaska","10-19",73,"06/28/20","age","case","Count",96022,73,76.0242444439816
"Alaska","20-29",178,"06/28/20","age","case","Count",114672,178,155.225338356356
"Alaska","30-39",175,"06/28/20","age","case","Count",108865,175,160.749552197676
"Alaska","40-49",139,"06/28/20","age","case","Count",86536,139,160.62679116206
"Alaska","50-59",145,"06/28/20","age","case","Count",93805,145,154.575982090507
"Alaska","60-69",93,"06/28/20","age","case","Count",80434,93,115.622746599697
"Alaska","70-79",51,"06/28/20","age","case","Count",37370,51,136.473106770136
"Alaska","80+",17,"06/28/20","age","case","Count",14563,17,116.734189384055
"Alaska","UNKNOWN",0,"06/28/20","age","case",NA,NA,0,NA
"Alaska","FEMALE",444,"06/28/20","gender","case","Count",352865,444,125.827157694869
"Alaska","MALE",460,"06/28/20","gender","case","Count",384573,460,119.613181372587
"Alaska","UNKNOWN",0,"06/28/20","gender","case",NA,NA,0,NA
"Alaska","AI/AN",0.143,"06/28/20","race","death","Percent",113516,2,1.76186616864583
"Alaska","ASIAN",0.143,"06/28/20","race","death","Percent",49025,2,4.07955124936257
"Alaska","BLACK",0,"06/28/20","race","death",NA,27942,0,0
"Alaska","HN/PI",0.071,"06/28/20","race","death","Percent",10221,1,9.78377849525487
"Alaska","MULTI",0,"06/28/20","race","death",NA,54855,0,0
"Alaska","OTHER",0,"06/28/20","race","death",NA,NA,0,NA
"Alaska","UNKNOWN",0,"06/28/20","race","death",NA,NA,0,NA
"Alaska","WHITE",0.643,"06/28/20","race","death","Percent",481879,9,1.8676887766431
"Alaska","0-9",0,"06/28/20","age","death",NA,105171,0,0
"Alaska","10-19",0,"06/28/20","age","death",NA,96022,0,0
"Alaska","20-29",0,"06/28/20","age","death",NA,114672,0,0
"Alaska","30-39",0.143,"06/28/20","age","death","Percent",108865,2,1.83713773940201
"Alaska","40-49",0,"06/28/20","age","death",NA,86536,0,0
"Alaska","50-59",0.071,"06/28/20","age","death","Percent",93805,1,1.0660412557966
"Alaska","60-69",0.143,"06/28/20","age","death","Percent",80434,2,2.48651067956337
"Alaska","70-79",0.5,"06/28/20","age","death","Percent",37370,7,18.7316028900187
"Alaska","80+",0.143,"06/28/20","age","death","Percent",14563,2,13.733434045183
"Alaska","UNKNOWN",0,"06/28/20","age","death",NA,NA,0,NA
"Alaska","FEMALE",0.5,"06/28/20","gender","death","Percent",352865,7,1.98376149518938
"Alaska","MALE",0.5,"06/28/20","gender","death","Percent",384573,7,1.82020058610459
"Alaska","UNKNOWN",0,"06/28/20","gender","death",NA,NA,0,NA
"Alaska","AI/AN",0.134,"06/28/20","race","hosp","Percent",113516,9,7.92839775890623
"Alaska","ASIAN",0.119,"06/28/20","race","hosp","Percent",49025,8,16.3182049974503
"Alaska","BLACK",0,"06/28/20","race","hosp",NA,27942,0,0
"Alaska","HN/PI",0.075,"06/28/20","race","hosp","Percent",10221,5,48.9188924762743
"Alaska","MULTI",0,"06/28/20","race","hosp",NA,54855,0,0
"Alaska","OTHER",0.06,"06/28/20","race","hosp","Percent",NA,4,NA
"Alaska","UNKNOWN",0.015,"06/28/20","race","hosp","Percent",NA,1,NA
"Alaska","WHITE",0.597,"06/28/20","race","hosp","Percent",481879,40,8.30083900730266
"Alaska","0-9",0,"06/28/20","age","hosp",NA,105171,0,0
"Alaska","10-19",0.015,"06/28/20","age","hosp","Percent",96022,1,1.04142800608194
"Alaska","20-29",0.075,"06/28/20","age","hosp","Percent",114672,5,4.36026231338077
"Alaska","30-39",0.09,"06/28/20","age","hosp","Percent",108865,6,5.51141321820603
"Alaska","40-49",0.06,"06/28/20","age","hosp","Percent",86536,4,4.62235370250532
"Alaska","50-59",0.164,"06/28/20","age","hosp","Percent",93805,11,11.7264538137626
"Alaska","60-69",0.179,"06/28/20","age","hosp","Percent",80434,12,14.9190640773802
"Alaska","70-79",0.313,"06/28/20","age","hosp","Percent",37370,21,56.1948086700562
"Alaska","80+",0.104,"06/28/20","age","hosp","Percent",14563,7,48.0670191581405
"Alaska","UNKNOWN",0,"06/28/20","age","hosp",NA,NA,0,NA
"Alaska","FEMALE",0.403,"06/28/20","gender","hosp","Percent",352865,27,7.65165148144475
"Alaska","MALE",0.597,"06/28/20","gender","hosp","Percent",384573,40,10.4011462063119
"Alaska","UNKNOWN",0,"06/28/20","gender","hosp",NA,NA,0,NA
"Alaska","",108709,"06/28/20","total","test","Count",737438,108709,14741.4426704347
"Alaska","",904,"06/28/20","total","case","Count",737438,904,122.586576769844
"Alaska","HISPANIC",57,"06/28/20","eth","case","Count",53288,57,106.965921032878
"Alaska","NON HISPANIC",657,"06/28/20","eth","case","Count",684150,657,96.031572023679
"Alaska","UNKNOWN",190,"06/28/20","eth","case","Count",NA,190,NA
"Alaska","",14,"06/28/20","total","death","Count",737438,14,1.89846468448873
"Alaska","HISPANIC",1,"06/28/20","eth","death","Count",53288,1,1.87659510583996
"Alaska","NON HISPANIC",2,"06/28/20","eth","death","Count",684150,2,0.292333552583498
"Alaska","UNKNOWN",1,"06/28/20","eth","death","Count",NA,1,NA
"Alaska","",67,"06/28/20","total","hosp","Count",737438,67,9.08550956148178
"Alaska","HISPANIC",2,"06/28/20","eth","hosp","Count",53288,2,3.75319021167993
"Alaska","NON HISPANIC",3,"06/28/20","eth","hosp","Count",684150,3,0.438500328875247
"Alaska","UNKNOWN",1,"06/28/20","eth","hosp","Count",NA,1,NA
"Arizona","NH AI/AN",6135,"06/29/20","race","case","Count",283832,6135,2161.4898954311
"Arizona","NH ASIAN",551,"06/29/20","race","case","Count",244348,551,225.498060143729
"Arizona","NH BLACK",1694,"06/29/20","race","case","Count",313875,1694,539.705296694544
"Arizona","HISPANIC",18291,"06/29/20","race","case","Count",2266343,18291,807.071127362451
"Arizona","NH MULTI",0,"06/29/20","race","case",NA,146845,0,0
"Arizona","OTHER",1430,"06/29/20","race","case","Count",NA,1430,NA
"Arizona","UNKNOWN",34450,"06/29/20","race","case","Count",NA,34450,NA
"Arizona","NH WHITE",11982,"06/29/20","race","case","Count",3902867,11982,307.005081136508
"Arizona","0-19",8358,"06/29/20","age","case","Count",1837877,8358,454.763838929373
"Arizona","20-44",36594,"06/29/20","age","case","Count",2358452,36594,1551.61097194261
"Arizona","45-54",11452,"06/29/20","age","case","Count",850790,11452,1346.043089364
"Arizona","55-64",8871,"06/29/20","age","case","Count",866277,8871,1024.03734602212
"Arizona","65+",9108,"06/29/20","age","case","Count",1258250,9108,723.862507450825
"Arizona","UNKNOWN",150,"06/29/20","age","case","Count",NA,150,NA
"Arizona","FEMALE",38695,"06/29/20","gender","case","Count",3606307,38695,1072.9813074705
"Arizona","MALE",35662,"06/29/20","gender","case","Count",3565339,35662,1000.24149176277
"Arizona","NH AI/AN",283,"06/29/20","race","death","Count",283832,283,99.706868851997
"Arizona","NH ASIAN",17,"06/29/20","race","death","Count",244348,17,6.95729042185735
"Arizona","NH BLACK",46,"06/29/20","race","death","Count",313875,46,14.6555157307845
"Arizona","HISPANIC",339,"06/29/20","race","death","Count",2266343,339,14.9580182699618
"Arizona","NH MULTI",0,"06/29/20","race","death",NA,146845,0,0
"Arizona","OTHER",33,"06/29/20","race","death","Count",NA,33,NA
"Arizona","UNKNOWN",178,"06/29/20","race","death","Count",NA,178,NA
"Arizona","NH WHITE",692,"06/29/20","race","death","Count",3902867,692,17.7305555121402
"Arizona","0-19",6,"06/29/20","age","death","Count",1837877,6,0.326463631679378
"Arizona","20-44",84,"06/29/20","age","death","Count",2358452,84,3.56165824023554
"Arizona","45-54",106,"06/29/20","age","death","Count",850790,106,12.4590086860447
"Arizona","55-64",211,"06/29/20","age","death","Count",866277,211,24.3571051753654
"Arizona","65+",1181,"06/29/20","age","death","Count",1258250,1181,93.8605205642758
"Arizona","FEMALE",713,"06/29/20","gender","death","Count",3606307,713,19.7709180055941
"Arizona","MALE",874,"06/29/20","gender","death","Count",3565339,874,24.5137979866711
"Arizona","NH AI/AN",688,"06/29/20","race","hosp","Count",283832,688,242.396910848671
"Arizona","NH ASIAN",77,"06/29/20","race","hosp","Count",244348,77,31.5124330872362
"Arizona","NH BLACK",230,"06/29/20","race","hosp","Count",313875,230,73.2775786539227
"Arizona","HISPANIC",1636,"06/29/20","race","hosp","Count",2266343,1636,72.1867784355678
"Arizona","NH MULTI",0,"06/29/20","race","hosp",NA,146845,0,0
"Arizona","OTHER",84,"06/29/20","race","hosp","Count",NA,84,NA
"Arizona","UNKNOWN",265,"06/29/20","race","hosp","Count",NA,265,NA
"Arizona","NH WHITE",1654,"06/29/20","race","hosp","Count",3902867,1654,42.3791023368206
"Arizona","0-19",62,"06/29/20","age","hosp","Count",1837877,62,3.37345752735357
"Arizona","20-44",1041,"06/29/20","age","hosp","Count",2358452,1041,44.1391217629191
"Arizona","45-54",747,"06/29/20","age","hosp","Count",850790,747,87.8007498912775
"Arizona","55-64",908,"06/29/20","age","hosp","Count",866277,908,104.816357816264
"Arizona","65+",1876,"06/29/20","age","hosp","Count",1258250,1876,149.095966620306
"Arizona","UNKNOWN",0,"06/29/20","age","hosp",NA,NA,0,NA
"Arizona","FEMALE",2268,"06/29/20","gender","hosp","Count",3606307,2268,62.8898205283133
"Arizona","MALE",2364,"06/29/20","gender","hosp","Count",3565339,2364,66.3050554239022
"Arizona","",511009,"06/29/20","total","test","Count",7171646,511009,7125.40747270571
"Arizona","",74533,"06/29/20","total","case","Count",7171646,74533,1039.27327143587
"Arizona","",1588,"06/29/20","total","death","Count",7171646,1588,22.1427549547203
"Arizona","",4634,"06/29/20","total","hosp","Count",7171646,4634,64.6155708187493
"Arkansas","AI/AN",51,"06/29/20","race","case","Count",30225,51,168.734491315136
"Arkansas","ASIAN",232,"06/29/20","race","case","Count",50301,232,461.223434921771
"Arkansas","BLACK",4531,"06/29/20","race","case","Count",472287,4531,959.374278775406
"Arkansas","HN/PI",1389,"06/29/20","race","case","Count",10881,1389,12765.370829887
"Arkansas","OTHER",1909,"06/29/20","race","case","Count",NA,1909,NA
"Arkansas","UNKNOWN",2846,"06/29/20","race","case","Count",NA,2846,NA
"Arkansas","WHITE",9299,"06/29/20","race","case","Count",2385213,9299,389.860360479337
"Arkansas","0-17",2534,"06/29/20","age","case","Count",703180,2534,360.362922722489
"Arkansas","18-24",2575,"06/29/20","age","case","Count",280578,2575,917.748362309233
"Arkansas","25-44",7530,"06/29/20","age","case","Count",765106,7530,984.177355817364
"Arkansas","45-64",5485,"06/29/20","age","case","Count",753134,5485,728.290051969503
"Arkansas","65+",2133,"06/29/20","age","case","Count",511827,2133,416.742375841837
"Arkansas","FEMALE",8919,"06/29/20","gender","case","Count",1533682,8919,581.541675523348
"Arkansas","MALE",10953,"06/29/20","gender","case","Count",1480143,10953,739.996067947489
"Arkansas","UNKNOWN",385,"06/29/20","gender","case","Count",NA,385,NA
"Arkansas","AI/AN",0,"06/29/20","race","death",NA,30225,0,0
"Arkansas","ASIAN",3,"06/29/20","race","death","Count",50301,3,5.9640961412298
"Arkansas","BLACK",67,"06/29/20","race","death","Count",472287,67,14.186289269025
"Arkansas","HN/PI",24,"06/29/20","race","death","Count",10881,24,220.567962503446
"Arkansas","OTHER",19,"06/29/20","race","death","Count",NA,19,NA
"Arkansas","UNKNOWN",13,"06/29/20","race","death","Count",NA,13,NA
"Arkansas","WHITE",139,"06/29/20","race","death","Count",2385213,139,5.82757179337862
"Arkansas","0-17",0,"06/29/20","age","death",NA,703180,0,0
"Arkansas","18-24",0,"06/29/20","age","death",NA,280578,0,0
"Arkansas","25-44",15,"06/29/20","age","death","Count",765106,15,1.96051266099076
"Arkansas","45-64",61,"06/29/20","age","death","Count",753134,61,8.09948827167543
"Arkansas","65+",189,"06/29/20","age","death","Count",511827,189,36.9265396315552
"Arkansas","",302536,"06/29/20","total","test","Count",3013825,302536,10038.2736223902
"Arkansas","",20257,"06/29/20","total","case","Count",3013825,20257,672.135907028444
"Arkansas","HISPANIC",4939,"06/29/20","eth","case","Count",233187,4939,2118.04260100263
"Arkansas","NON HISPANIC",15318,"06/29/20","eth","case","Count",2780638,15318,550.880769089684
"Arkansas","",265,"06/29/20","total","death","Count",3013825,265,8.79281311954078
"Arkansas","HISPANIC",20,"06/29/20","eth","death","Count",233187,20,8.57680745496104
"Arkansas","NON HISPANIC",245,"06/29/20","eth","death","Count",2780638,245,8.81092756410579
"Arkansas","",1380,"06/29/20","total","hosp","Count",3013825,1380,45.7889890753445
"California","NH AI/AN",278,"06/28/20","race","case","Count",163273,278,170.266976168748
"California","NH ASIAN",9880,"06/28/20","race","case","Count",5818319,9880,169.80849623405
"California","NH BLACK",6445,"06/28/20","race","case","Count",2223274,6445,289.887796106103
"California","HISPANIC",82378,"06/28/20","race","case","Count",15540142,82378,530.09811622056
"California","NH HN/PI",913,"06/28/20","race","case","Count",145491,913,627.5302252373
"California","NH MULTI",1034,"06/28/20","race","case","Count",1097938,1034,94.1765382016107
"California","OTHER",20690,"06/28/20","race","case","Count",NA,20690,NA
"California","NH WHITE",24775,"06/28/20","race","case","Count",14568608,24775,170.057427586767
"California","0-17",17157,"06/28/20","age","case","Count",8989955,17157,190.846339052865
"California","18-34",68070,"06/28/20","age","case","Count",9789194,68070,695.358575997166
"California","35-49",54763,"06/28/20","age","case","Count",7823754,54763,699.958101954637
"California","50-64",45434,"06/28/20","age","case","Count",7285117,45434,623.655049054119
"California","65-79",20245,"06/28/20","age","case","Count",4262132,20245,474.997020270606
"California","80+",10648,"06/28/20","age","case","Count",1406893,10648,756.845047917646
"California","FEMALE",106610,"06/28/20","gender","case","Count",19893468,106610,535.904549171618
"California","MALE",108973,"06/28/20","gender","case","Count",19663577,108973,554.187063727012
"California","UNKNOWN",967,"06/28/20","gender","case","Count",NA,967,NA
"California","NH AI/AN",22,"06/28/20","race","death","Count",163273,22,13.4743650205484
"California","NH ASIAN",843,"06/28/20","race","death","Count",5818319,843,14.4887208831279
"California","NH BLACK",544,"06/28/20","race","death","Count",2223274,544,24.4684190972413
