"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",337,"08/03/20","race","case","Count",73167,337,460.590156764662
"Alabama","BLACK",24815,"08/03/20","race","case","Count",1310802,24815,1893.11581764447
"Alabama","OTHER",4864,"08/03/20","race","case","Count",NA,4864,NA
"Alabama","UNKNOWN",31884,"08/03/20","race","case","Count",NA,31884,NA
"Alabama","WHITE",28027,"08/03/20","race","case","Count",3379955,28027,829.212223239659
"Alabama","65+",14775,"08/03/20","age","case","Count",826894,14775,1786.8070151676
"Alabama","0-4",1815,"08/03/20","age","case","Count",293203,1815,619.025044082086
"Alabama","25-49",36680,"08/03/20","age","case","Count",1548808,36680,2368.27289115242
"Alabama","5-24",18340,"08/03/20","age","case","Count",1249295,18340,1468.02796777382
"Alabama","50-64",18209,"08/03/20","age","case","Count",969671,18209,1877.8534162618
"Alabama","UNKNOWN",108,"08/03/20","age","case","Count",NA,108,NA
"Alabama","FEMALE",49954,"08/03/20","gender","case","Count",2523756,49954,1979.35141115068
"Alabama","MALE",38998,"08/03/20","gender","case","Count",2364115,38998,1649.58134439314
"Alabama","UNKNOWN",975,"08/03/20","gender","case","Count",NA,975,NA
"Alabama","ASIAN",4,"08/03/20","race","death","Count",73167,4,5.46694548088619
"Alabama","BLACK",654,"08/03/20","race","death","Count",1310802,654,49.8931188692114
"Alabama","OTHER",32,"08/03/20","race","death","Count",NA,32,NA
"Alabama","UNKNOWN",55,"08/03/20","race","death","Count",NA,55,NA
"Alabama","WHITE",835,"08/03/20","race","death","Count",3379955,835,24.7044709175122
"Alabama","65+",1238,"08/03/20","age","death","Count",826894,1238,149.716892370727
"Alabama","0-4",3,"08/03/20","age","death","Count",293203,3,1.02318189104477
"Alabama","25-49",67,"08/03/20","age","death","Count",1548808,67,4.32590740750306
"Alabama","5-24",3,"08/03/20","age","death","Count",1249295,3,0.240135436386122
"Alabama","50-64",269,"08/03/20","age","death","Count",969671,269,27.7413679485104
"Alabama","FEMALE",771,"08/03/20","gender","death","Count",2523756,771,30.5497044880725
"Alabama","MALE",805,"08/03/20","gender","death","Count",2364115,805,34.0507970212955
"Alabama","",711317,"08/03/20","total","test","Count",4887871,711317,14552.6958465148
"Alabama","",92661,"08/03/20","total","case","Count",4887871,92661,1895.7333366613
"Alabama","HISPANIC",6117,"08/03/20","eth","case","Count",217181,6117,2816.54472536732
"Alabama","NON HISPANIC",43477,"08/03/20","eth","case","Count",4670690,43477,930.847476497049
"Alabama","UNKNOWN",40333,"08/03/20","eth","case","Count",NA,40333,NA
"Alabama","",1633,"08/03/20","total","death","Count",4887871,1633,33.4092286805441
"Alabama","HISPANIC",48,"08/03/20","eth","death","Count",217181,48,22.1013808758593
"Alabama","NON HISPANIC",1347,"08/03/20","eth","death","Count",4670690,1347,28.8394220125934
"Alabama","UNKNOWN",185,"08/03/20","eth","death","Count",NA,185,NA
"Alabama","",10865,"08/03/20","total","hosp","Count",4887871,10865,222.284917093761
"Alaska","AI/AN",424,"08/02/20","race","case","Count",113516,424,373.515627752916
"Alaska","ASIAN",95,"08/02/20","race","case","Count",49025,95,193.778684344722
"Alaska","BLACK",97,"08/02/20","race","case","Count",27942,97,347.147663016248
"Alaska","HN/PI",129,"08/02/20","race","case","Count",10221,129,1262.10742588788
"Alaska","MULTI",93,"08/02/20","race","case","Count",54855,93,169.537872573147
"Alaska","OTHER",67,"08/02/20","race","case","Count",NA,67,NA
"Alaska","UNKNOWN",246,"08/02/20","race","case","Count",NA,246,NA
"Alaska","WHITE",907,"08/02/20","race","case","Count",481879,907,188.221524490588
"Alaska","0-9",157,"08/02/20","age","case","Count",105171,157,149.28069524869
"Alaska","10-19",341,"08/02/20","age","case","Count",96022,341,355.126950073941
"Alaska","20-29",825,"08/02/20","age","case","Count",114672,825,719.443281707828
"Alaska","30-39",629,"08/02/20","age","case","Count",108865,629,577.779819041933
"Alaska","40-49",459,"08/02/20","age","case","Count",86536,459,530.415087362485
"Alaska","50-59",429,"08/02/20","age","case","Count",93805,429,457.331698736741
"Alaska","60-69",310,"08/02/20","age","case","Count",80434,310,385.409155332322
"Alaska","70-79",141,"08/02/20","age","case","Count",37370,141,377.308001070377
"Alaska","80+",50,"08/02/20","age","case","Count",14563,50,343.335851129575
"Alaska","UNKNOWN",0,"08/02/20","age","case",NA,NA,0,NA
"Alaska","FEMALE",1711,"08/02/20","gender","case","Count",352865,1711,484.887988324147
"Alaska","MALE",1630,"08/02/20","gender","case","Count",384573,1630,423.846707907211
"Alaska","UNKNOWN",0,"08/02/20","gender","case",NA,NA,0,NA
"Alaska","AI/AN",0.36,"08/02/20","race","death","Percent",113516,9,7.92839775890623
"Alaska","ASIAN",0.08,"08/02/20","race","death","Percent",49025,2,4.07955124936257
"Alaska","BLACK",0,"08/02/20","race","death",NA,27942,0,0
"Alaska","HN/PI",0.12,"08/02/20","race","death","Percent",10221,3,29.3513354857646
"Alaska","MULTI",0,"08/02/20","race","death",NA,54855,0,0
"Alaska","OTHER",0,"08/02/20","race","death",NA,NA,0,NA
"Alaska","UNKNOWN",0,"08/02/20","race","death",NA,NA,0,NA
"Alaska","WHITE",0.44,"08/02/20","race","death","Percent",481879,11,2.28273072700823
