,X,state_name,Link,total.tested,total.case,total.tested.today,total.positive.today,total.death.today,positive_race,positive_age,positive_gender,positivity.rate,county.details,total.death,death_race,death_age,death_gender,comorbidities,total_hosp,hosp_race,hosp_age,hosp_gender,platform,comments,last.update
1,1,Massachusetts,https://www.mass.gov/info-details/archive-of-covid-19-cases-in-massachusetts#april-2020-,886213,109974,5893,111,10,Non-Hispanic White:33369; Non-Hispanic Black/African American:10357; Hispanic:21357; Non-Hispanic Asian:2292; Non-Hispanic Other:5681; Unknown/Missing:36918,0-19:5908; 20-29:15386; 30-39:16563; 40-49:15666; 50-59:17387; 60-69:14164; 70-79:9494; 80+:15136; Unknown:270,Unknown:1459; Male:48548; Female:59967,x (Rate by age),NA,8183; Hosp_Yes:4424; Hosp_No:1169; Hosp_Unknown:2590; Preexist_Yes:3985; Preexist_No:71; Preexist_Unknown:4127,Non-Hispanic White:6133; Non-Hispanic Black/African American:669; Hispanic:570; Non-Hispanic Asian:214; Non-Hispanic Other:534; Unknown/Missing:63,0-19:0; 20-29:16; 30-39:32; 40-49:86; 50-59:288; 60-69:852; 70-79:1793; 80+:5116; Unknown:0,Male:3804; Female:4378,,11462,Non-Hispanic White:5599; Non-Hispanic Black/African American:1347; Hispanic:1558; Non-Hispanic Asian:369; Non-Hispanic Other:893; Unknown/Missing:1697,0-19:111; 20-29:290; 30-39:535; 40-49:819; 50-59:1493; 60-69:2211; 70-79:2467; 80+:3536; Unknown:1,,pdf,Cases.in.Residents.Healthcare.Workers.of.LTCFs:23554; facilities:369; Deaths.Reported.in.LTCFs:5173; Total.number.of.COVID.patients.in.hospital.today:636; Net.new.hospitalizations:-4; X5.day.average.of.net.new.hospitalizations:-19.4; ICU:100; Net.New.number.ICU:-7; Total.number.intubated:46; Net.New.number.intubated:-5; Confirmed.COVID.19.hospitalizations:31; Suspected.COVID.19.hospitalizations:242,7/5/20
2,2,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,4793353,271684,NA,NA,NA,Latino:97599; White:30519; Asian:11219; Black:7693; Multi-Race:1252; American Indian or Alaska Native:349; Native Hawaiian and other Pacific Islander:1063; Other:27318,0-17:22332; 18-34:90322; 35-49:68445; 50-64:54836; 65-79:23576; 80+:11865,Female:134224; Male:136050; Unknown:1410,,NA,6301,Latino:2625; White:1992; Asian:883; Black:575; Multi-Race:34; American Indian or Alaska Native:23; Native Hawaiian and other Pacific Islander:25; Other:70,0-17:0; 18-34:68; 35-49:316; 50-64:1044; 65-79:1985; 80+:2887,Female:2759; Male:3534; Unknown:8,,,,,,pdf,,7/5/20
3,3,Pennsylvania,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,833324,90304; eth_Hispanic:7279; eth_Not Hispanic:19210; eth_Not Reported:63815,NA,NA,NA,Not Reported:49090; African American/Black:11603; Asian:1319; White:27581; Other:711,0-9:1420; 20-29:13160; 30-39:13517; 40-49:12649; 50-59:14732; 60-69:12049; 70-79:7865; 80-89:6882; 90-99:4146; 100+:220; Not Reported:121; 10-19:3543,Not Reported:1%; Female:55%; Male:44%; Neither:0%,,NA,6754; eth_Hispanic:336; eth_Not Hispanic:5550,Asian:142; White:4245; African American:1216; Multiple/Other:283,0-4:0; 5-9:0; 10-14:0; 15-19:0; 20-24:0; 25-29:6; 30-34:10; 35-39:7; 40-44:29; 45-49:64; 50-54:109; 55-59:185; 60-64:321; 65-69:471; 70-74:583; 75-79:665; 80-84:828; 85-89:1045; 90-94:974; 95-99:487; 100-104:90; 105-109:8,Female:3047; Male:2839,Neuro Dementia:1280; Cardio Hypertension:1236; Metabolic Diabetes:746; Respiratory COPD:464; Cardio Coronary Artery Disease:439; Kidney Chronic:404; Cardio Congestive Heart Failure:398; Cancer:245; Neuro Parkinson’s:151; Kidney End-Stage Renal:129; Metabolic Obesity:119; Respiratory Sleep Apnea:49; Respiratory Asthma:47; Liver Cirrhosis:27; Immuno Organ Transplant:12; Immuno HIV:11; Liver Chronic:6,,,0-4:<1%; 5-12:<1%; 13-18:<1%; 19-24:1%; 25-49:16%; 50-64:26%; 65+:56%,,webpage,pod_Hospice:120; pod_Hospital:3025; pod_Long-Term Living:2567; pod_Residence:171; pod_Other:3,5/10/20
4,4,Illinois,http://www.dph.illinois.gov/covid19/covid19-statistics,1782840; age_Unknown:68358; age_<20:123025; age_20-29:252746; age_30-39:261804; age_40-49:247523; age_50-59:277356; age_60-69:249854; age_70-79:160718; age_80+:141456; gender_Male:714840; gender_Female:925519; gender_Unknown/Left Blank:142481; race_White:483804; race_Black:153694; race_Left Blank:918705; race_Other:54422; race_Asian:25876; race_Hispanic:142967; race_NH/PI*:2106; race_AI/AN**:1266,147865,21134,614,6,White:31328; Black:24783; Left Blank:33641; Other:5511; Asian:4218; Hispanic:47778; NH/PI*:382; AI/AN**:224,Unknown:57; <20:11519; 20-29:25020; 30-39:24368; 40-49:25740; 50-59:24581; 60-69:17151; 70-79:9534; 80+:9895,Male:69787; Female:75370; Unknown/Left Blank:2708,,NA,7026,White:3126; Black:1958; Left Blank:95; Other:48; Asian:330; Hispanic:1452; NH/PI*:7; AI/AN**:10,Unknown:0; <20:4; 20-29:25; 30-39:110; 40-49:248; 50-59:581; 60-69:1253; 70-79:1678; 80+:3127,Male:3811; Female:3210; Unknown/Left Blank:5,,,,,,webpage,,7/6/20
5,5,Michigan,https://www.michigan.gov/coronavirus/097537-406-98163_98173---00.html,1177247,73269; eth1_Hispanic/Latino:8%; eth1_Non-Hispanic Latino:65%; eth1_Unknown:27%; eth2_Arab:2%; eth2_Non-Arab:41%; eth2_Unknown:57%,NA,NA,NA,Unknown:9334; American Indian/Alaska Native:259; Asian/Pacific Islander:1464; Black/African American:19987; Multiple Races:4626; Other:4028; White:26391,0-19:2792; 20-29:9122; 30-39:9416; 40-49:10354; 50-59:11341; 60-69:9828; 70-79:6613; 80+:6614; Unknown:9,Unknown:144; Female:34541; Male:31404,,NA,6221; eth1_Hispanic/Latino:2%; eth1_Non-Hispanic Latino:83%; eth1_Unknown:15%; eth2_Arab:1%; eth2_Non-Arab:43%; eth2_Unknown:55%,Unknown:195; American Indian/Alaska Native:6; Asian/Pacific Islander:69; Black/African American:2358; Multiple Races:81; Other:103; White:3085,0-19:0; 20-29:8; 30-39:50; 40-49:177; 50-59:462; 60-69:1057; 70-79:1605; 80+:2538; Unknown:0,Unknown:0; Female:2821; Male:3076,,,,,,webpage,# of ED Discharges:420; # In Critical Care:179; # on Ventilators:99; # of Inpatients:317; ICU:174,7/6/20
6,7,Connecticut,https://portal.ct.gov/coronavirus,522385,46976,24692,256,3,Hispanic:8893; NH American Indian or Alaskan Native:45; NH Asian or Pacific Islander:681; NH Black:6144; NH Multiracial:129; NH Other:266; NH White:16492; Unknown:14326,0-9:668; 10-19:1400; 20-29:5734; 30-39:6662; 40-49:6614; 50-59:7921; 60-69:6551; 70-79:4416; 80 and older:6952,Female:25651; Male:21203,,NA,4338,Hispanic:374; NH American Indian or Alaskan Native:2; NH Asian or Pacific Islander:47; NH Black:644; NH Multiracial:27; NH Other:16; NH White:3179; Unknown:49,0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:56; 50-59:176; 60-69:533; 70-79:945; 80 and older:2601,Female:2266; Male:2072,,,,,,,curr_hosp:69,7/5/20
7,8,Texas,https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83,2163729,200557,NA,NA,NA,Unknown:4939; Asian:629; Black:2721; Hispanic:8907; Other:121; White:5925,<1 year:95; 1-9 years:415; 10-19 years:1092; 20-29 years:4139; 30-39 years:4297; 40-49 years:4179; 50-59 years:3926; 60-64 years:1576; 65-69 years:1145; 70-74 years:736; 75-79 years:560; 80+ years:1068; Unknown:14,Unknown:214; Female:11250; Male:11778,,NA,2655,Unknown:85; Asian:14; Black:87; Hispanic:195; Other:1; White:298,<1 year:0; 1-9 years:0; 10-19 years:0; 20-29 years:4; 30-39 years:11; 40-49 years:25; 50-59 years:72; 60-64 years:70; 65-69 years:75; 70-74 years:71; 75-79 years:76; 80+ years:276; Unknown:0,Unknown:3; Female:285; Male:392,,,,,,arcgis + downloadable cs,recovered:103781.8; Lab Confirmed COVID-19 Patients Currently in Texas Hospitals:8698; Total Texas Staffed Hospital Beds:53680; Available Texas Hospital Beds:12852; Available Texas ICU Beds:1226; Available Texas Ventilators:5300,7/6/20
8,9,Georgia,https://dph.georgia.gov/covid-19-daily-status-report,958953,97064; eth_Hispanic/Latino:14997; eth_Non-Hispanic/Latino:46357; eth_Unknown:35710,NA,NA,NA,Unknown:30032; African-American/Black:26887; American Indian/Alaska Native:71; Asian:1389; Native Hawaiian/Pacific Islander:97; Other:7710; White:30878,Unknown:234; <1:371; 1-4:893; 5-9:1221; 10-17:3804; 18-29:22678; 30-39:16498; 40-49:15459; 50-59:14590; 60-69:10201; 70-79:6050; 80+:5065,Female:50103; Male:43760; Unknown:3201,,NA,2878; eth_Hispanic/Latino:148; eth_Non-Hispanic/Latino:2694; eth_Unknown:36,Unknown:19; African-American/Black:1357; American Indian/Alaska Native:3; Asian:47; Native Hawaiian/Pacific Islander:5; Other:72; White:1375,Unknown:1; 10-17:1; 18-29:15; 30-39:50; 40-49:108; 50-59:241; 60-69:533; 70-79:774; 80+:1155,Female:1400; Male:1475; Unknown:3,Unknown:685; No:385; Yes:1808,11919,,Unknown:8; <1:18; 1-4:24; 5-9:8; 10-17:74; 18-29:714; 30-39:1092; 40-49:1527; 50-59:2239; 60-69:2436; 70-79:2004; 80+:1775,,webpage,,7/6/20
9,10,Maryland,https://coronavirus.maryland.gov,724463,69904,NA,NA,NA,not available:12658; African-American (NH):20043; Asian (NH):1337; White (NH):13850; Hispanic:18609; Other (NH):3407,0-9:2141; 10-19:3700; 20-29:10487; 30-39:13069; 40-49:12332; 50-59:10926; 60-69:7786; 70-79:4913; 80+:4550,Female:36227; Male:33677,,NA,3246,not available:22; African-American (NH):1309; Asian (NH):128; White (NH):1394; Hispanic:358; Other (NH):35,0-9:0; 10-19:1; 20-29:18; 30-39:47; 40-49:101; 50-59:255; 60-69:521; 70-79:781; 80+:1506; not available:16,Female:1598; Male:1648,,11096,,,,arcgis + webpage,Currently hospitalized :403; Acute care :261; Intensive care :142; Released from isolation :5029,7/6/20
10,11,Ohio,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/key-metrics/hospitalizations,877688,57956; eth_Non-hispanic:39928; eth_Hispanic:4346; eth_Unknown:13682,NA,4,0,Unknown:6910; White:27389; Black:15354; Other:4331; Multi:2042; Asian:1754; NH/PI:109; AI/AN:67,0-19:4047; 20-29:10337; 30-39:9832; 40-49:8692; 50-59:8791; 60-69:6814; 70-79:4446; 80+:4942; Unknown:55,Unknown:490; Female:28766; Male:28700,,NA,2927; eth_Non-hispanic:2814; eth_Hispanic:62; eth_Unknown:51; eth_Refuse:0,Unknown:30; White:2254; Black:557; Other:18; Multi:35; Asian:31; NH/PI:1; AI/AN:1,0-19:1; 20-29:11; 30-39:18; 40-49:45; 50-59:174; 60-69:416; 70-79:717; 80+:1544; Unknown:1,Unknown:0; Female:1416; Male:1511,,8249; eth_Non-hispanic:6985; eth_Hispanic:544; eth_Unknown:710; eth_Refuse:10,Unknown:225; White:4515; Black:2615; Other:372; Multi:291; Asian:194; NH/PI:21; AI/AN:9,0-19:142; 20-29:369; 30-39:556; 40-49:810; 50-59:1464; 60-69:1777; 70-79:1593; 80+:1537; Unknown:1,Unknown:18; Female:3927; Male:4304,tableau,today_hosp:0,7/6/20
