"X","state_name","Link","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","positivity.rate","county.details","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
1,"Massachusetts","https://www.mass.gov/info-details/archive-of-covid-19-cases-in-massachusetts#april-2020-","2665975","149361",NA,NA,NA,"Non-Hispanic White:48943; Non-Hispanic Black/African American:13620; Hispanic:36829; Non-Hispanic Asian:3554; Non-Hispanic Other:10455; Unknown/Missing:39636","","","x (Rate by age)",NA,"9664; Hosp_Yes:5181; Hosp_No:1619; Hosp_Unknown:3088; Preexist_Yes:5055; Preexist_No:95; Preexist_Unknown:4738","Non-Hispanic White:7478; Non-Hispanic Black/African American:780; Hispanic:680; Non-Hispanic Asian:242; Non-Hispanic Other:652; Unknown/Missing:56","","Male:4534; Female:5351","","13184","Non-Hispanic White:6593; Non-Hispanic Black/African American:1542; Hispanic:1974; Non-Hispanic Asian:428; Non-Hispanic Other:1120; Unknown/Missing:1527","","","pdf","Cases.in.Residents.Healthcare.Workers.of.LTCFs:25555; facilities:391; Deaths.Reported.in.LTCFs:6351; Total.number.of.COVID.patients.in.hospital.today:567; Net.new.hospitalizations:17; X5.day.average.of.net.new.hospitalizations:9; ICU:109; Net.New.number.ICU:4; Total.number.intubated:47; Net.New.number.intubated:4; Confirmed.COVID.19.hospitalizations:57; Suspected.COVID.19.hospitalizations:154","10/27/2020"
2,"California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx","18127049","904198",NA,NA,NA,"Latino:389857; White:112132; Asian:35553; African American:26973; Multi-Race:7261; American Indian or Alaska Native:1816; Native Hawaiian and other Pacific Islander:3398; Other:62209","<5:20403; 5-17:75957; 18-34:317572; 35-49:222959; 50-59:125229; 60-64:45334; 65-69:30937; 70-74:21568; 75-79:14844; 80+:28552; missing:843","Female:456990; Male:440111; Unknown:7097","",NA,"17313","Latino:8339; White:5162; Asian:2020; African American:1279; Multi-Race:134; American Indian or Alaska Native:56; Native Hawaiian and other Pacific Islander:81; Other:86","<5:0; 5-17:2; 18-34:268; 35-49:968; 50-59:1835; 60-64:1472; 65-69:1782; 70-74:1932; 75-79:1922; 80+:7131; missing:1","Female:7409; Male:9875; Unknown:29","","","","","","pdf","","10/26/2020"
3,"Pennsylvania","https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx","2452969","198446; eth_Hispanic:15999; eth_Not Hispanic:52880; eth_Not Reported:129567",NA,NA,NA,"Asian:3953; Black:24189; White:81148; Other:2061; Unknown:87095","Not Reported:134; 0-9:4742; 10-19:17598; 20-29:38169; 30-39:28710; 40-49:25732; 50-59:29100; 60-69:22661; 70-79:14223; 80-89:10956; 90-99:6110; 100+:311","Not Reported:1268; Female:107388; Male:89782; Neither:8","",NA,"8696; eth_Hispanic:336; eth_Not Hispanic:5550","Asian:142; White:4245; African American:1216; Multiple/Other:283","0-4:0; 5-9:0; 10-14:0; 15-19:0; 20-24:0; 25-29:6; 30-34:10; 35-39:7; 40-44:29; 45-49:64; 50-54:109; 55-59:185; 60-64:321; 65-69:471; 70-74:583; 75-79:665; 80-84:828; 85-89:1045; 90-94:974; 95-99:487; 100-104:90; 105-109:8","Female:3047; Male:2839","Neuro Dementia:1280; Cardio Hypertension:1236; Metabolic Diabetes:746; Respiratory COPD:464; Cardio Coronary Artery Disease:439; Kidney Chronic:404; Cardio Congestive Heart Failure:398; Cancer:245; Neuro Parkinson’s:151; Kidney End-Stage Renal:129; Metabolic Obesity:119; Respiratory Sleep Apnea:49; Respiratory Asthma:47; Liver Cirrhosis:27; Immuno Organ Transplant:12; Immuno HIV:11; Liver Chronic:6","","","","","webpage","pod_Hospice:1; pod_Hospital:5; pod_Long-Term Living:3; pod_Residence:2; pod_Other:4","10/27/2020"
4,"Illinois","http://www.dph.illinois.gov/covid19/covid19-statistics","7388290; age_Unknown:427079; age_<20:875273; age_20-29:1427181; age_30-39:1032267; age_40-49:887234; age_50-59:956326; age_60-69:822563; age_70-79:508793; age_80+:451574; gender_Male:2927900; gender_Female:3814029; gender_Unknown/Left Blank:646361; race_White:2359844; race_Black:584570; race_Left Blank:3408288; race_Other:236764; race_Asian:266213; race_Hispanic:518728; race_NH/PI*:8190; race_AI/AN**:5693","382985","62074","4000","46","White:123378; Black:47134; Left Blank:99180; Other:13485; Asian:8089; Hispanic:90679; NH/PI*:569; AI/AN**:471","Unknown:79; <20:50051; 20-29:76066; 30-39:61277; 40-49:59324; 50-59:56891; 60-69:39509; 70-79:21664; 80+:18124","Male:180256; Female:196958; Unknown/Left Blank:5771","",NA,"9568","White:4782; Black:2317; Left Blank:170; Other:50; Asian:394; Hispanic:1832; NH/PI*:10; AI/AN**:13","Unknown:0; <20:7; 20-29:37; 30-39:141; 40-49:319; 50-59:742; 60-69:1626; 70-79:2307; 80+:4389","Male:5130; Female:4437; Unknown/Left Blank:1","","","","","","webpage","","10/27/2020"
5,"Michigan","https://www.michigan.gov/coronavirus/097537-406-98163_98173---00.html","4732725","182344; eth1_Hispanic/Latino:7.35%; eth1_Non-Hispanic Latino:71.63%; eth1_Unknown:21.01%; eth2_Arab:4.30%; eth2_Non-Arab:57.41%; eth2_Unknown:38.29%",NA,NA,NA,"Unknown:21083; American Indian/Alaska Native:845; Asian/Pacific Islander:3160; Black/African American:28979; Multiple Races:10166; Other:10106; White:89860","0-9:3574; 10-19:15668; 20-29:31332; 30-39:22979; 40-49:23243; 50-59:25014; 60-69:19660; 70-79:12389; 80+:10214; Unknown:126","Unknown:403; Female:84935; Male:78861","",NA,"7585; eth1_Hispanic/Latino:2.50%; eth1_Non-Hispanic Latino:85.66%; eth1_Unknown:11.84%; eth2_Arab:1.99%; eth2_Non-Arab:48.85%; eth2_Unknown:49.16%","Unknown:181; American Indian/Alaska Native:14; Asian/Pacific Islander:84; Black/African American:2591; Multiple Races:91; Other:144; White:4064","0-9:0; 10-19:0; 20-29:11; 30-39:65; 40-49:216; 50-59:558; 60-69:1248; 70-79:1939; 80+:3132; Unknown:0","Unknown:0; Female:3404; Male:3765","","1479","","","","webpage","","10/27/2020"
6,"Louisiana","http://ldh.la.gov/coronavirus/","2740255","180991",NA,NA,NA,"American Indian/Alaskan Native:485; Asian:9184; Black:63549; Native Hawaiian/Other Pacific Islander:200; Other:15725; Unknown:15283; White:71281","0 to 4:3636; 5 to 17:13806; 18 to 29:40124; 30 to 39:29033; 40 to 49:26648; 50 to 59:26102; 60 to 69:20605; 70+:20827","Male:44%; Female:55%; Unknown/Other:1%","",NA,"5872; eth_Hispanic/Latino:2.70%; eth_Non-Hispanic/Latino:92.10%; eth_Unknown:5.20%","American Indian/Alaskan Native:6; Asian:39; Black:2535; Native Hawaiian/Other Pacific Islander:7; Other:27; Unknown:0; White:2965","18 to 29:25; 30 to 39:81; 40 to 49:181; 50 to 59:486; 60 to 69:1027; 70+:3861; < 18:5","Male:52.00%; Female:48.00%; Unknown/Other:0.00%","Asthma:3.37%; Cancer:6.63%; Cardiac Disease:20.68%; Chronic Kidney Disease:18.07%; Congestive Heart Failure:13.30%; Diabetes:30.96%; Hypertension:52.12%; Neurological:19.68%; Obesity:16.65%; Pulmonary:11.38%","","","","","arcgis + tableau + downloadable csv","curr_hosp:600; curr_vent:91; Beds_In Use:9234; Beds_Still Available:4824; Hospital Vents_In Use:430; Hospital Vents_Still Available:1673; ICU Beds_In Use:1134; ICU Beds_Still Available:562","10/27/2020"
7,"Connecticut","https://portal.ct.gov/coronavirus","2218298","68637","13039","480","6","Hispanic:13155; NH American Indian or Alaskan Native:75; NH Asian or Pacific Islander:957; NH Black:8172; NH Multiracial:596; NH Other:1102; NH White:23162; Unknown:21418","0-9:1801; 10-19:4397; 20-29:10712; 30-39:10300; 40-49:9465; 50-59:10779; 60-69:8296; 70-79:5255; 80 and older:7607","Female:36876; Male:31435","",NA,"4595","Hispanic:406; NH American Indian or Alaskan Native:2; NH Asian or Pacific Islander:50; NH Black:673; NH Multiracial:39; NH Other:22; NH White:3360; Unknown:43","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:60; 50-59:191; 60-69:565; 70-79:1006; 80 and older:2746","Female:2404; Male:2190","","","","","","","curr_hosp:292","10/26/2020"
8,"Texas","https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83","8560787","867075",NA,NA,NA,"Unknown:6545; Asian:833; Black:9392; Hispanic:22518; Other:259; White:17165","<1 year:199; 1-9 years:995; 10-19 years:2562; 20-29 years:11033; 30-39 years:11990; 40-49 years:10790; 50-59 years:9429; 60-64 years:3506; 65-69 years:2393; 70-74 years:1426; 75-79 years:924; 80+ years:1450; Pending DOB:15","Female:19875; Male:35971; Unknown:866","",NA,"17514","Unknown:10; Asian:318; Black:1908; Hispanic:9672; Other:92; White:5375","<1 year:4; 1-9 years:6; 10-19 years:18; 20-29 years:108; 30-39 years:320; 40-49 years:970; 50-59 years:2127; 60-64 years:1657; 65-69 years:2040; 70-74 years:2261; 75-79 years:2147; 80+ years:5717; Pending DOB:0","Female:7313; Male:10062; Unknown:0","","","","","","arcgis + downloadable cs","recovered:758191.6; Lab Confirmed COVID-19 Patients Currently in Texas Hospitals:5278; Total Texas Hospital Capacity:63515; Total Staffed Inpatient Beds:59470; Available Texas Hospital Beds:13570; Available Texas ICU Beds:1204","10/26/2020"
9,"Georgia","https://dph.georgia.gov/covid-19-daily-status-report","3474891","353372; eth_Hispanic/ Latino:45250; eth_Non-Hispanic/ Latino:199300; eth_Unknown:108822",NA,NA,NA,"Unknown:80544; African-American/ Black:96917; American Indian/ Alaska Native:232; Asian:6124; Native Hawaiian/ Pacific Islander:428; Other:25137; White:143990","<1 years:1259; 01-04 years:4085; 05-09 years:6018; 10-17 years:21296; 18-29 years:88396; 30-39 years:57868; 40-49 years:55040; 50-59 years:50806; 60-69 years:34306; 70-79 years:19964; 80 & Older years:12865; Unknown years:1469","Female:185900; Male:160367; Unknown:7105","",NA,"7844; eth_Hispanic/ Latino:467; eth_Non-Hispanic/ Latino:7297; eth_Unknown:80","Unknown:81; African-American/ Black:3162; American Indian/ Alaska Native:8; Asian:139; Native Hawaiian/ Pacific Islander:6; Other:189; White:4259","<1 years:0; 01-04 years:1; 05-09 years:1; 10-17 years:5; 18-29 years:56; 30-39 years:134; 40-49 years:297; 50-59 years:740; 60-69 years:1554; 70-79 years:2138; 80 & Older years:2914; Unknown years:4","Female:3766; Male:4073; Unknown:5","","31256; eth_Hispanic/ Latino:4245; eth_Non-Hispanic/ Latino:23940; eth_Unknown:3071","Unknown:1983; African-American/ Black:13212; American Indian/ Alaska Native:20; Asian:522; Native Hawaiian/ Pacific Islander:38; Other:2648; White:12833","<1 years:73; 01-04 years:87; 05-09 years:63; 10-17 years:287; 18-29 years:2104; 30-39 years:2811; 40-49 years:4004; 50-59 years:5631; 60-69 years:6343; 70-79 years:5474; 80 & Older years:4325; Unknown years:54","Female:15942; Male:15106; Unknown:208","webpage","","10/27/2020"
10,"Maryland","https://coronavirus.maryland.gov","3311143","141741",NA,NA,NA,"Data not available:21143; African-American (NH):43861; Asian (NH):2712; White (NH):37519; Hispanic:29910; Other (NH):6596","0-9:5519; 10-19:12450; 20-29:26854; 30-39:25493; 40-49:22470; 50-59:20646; 60-69:13884; 70-79:8129; 80+:6296","Female:74616; Male:67125","",NA,"4108","Data not available:15; African-American (NH):1663; Asian (NH):152; White (NH):1767; Hispanic:466; Other (NH):45","0-9:0; 10-19:2; 20-29:25; 30-39:58; 40-49:133; 50-59:341; 60-69:663; 70-79:1011; 80+:1873; Data not available:2","Female:2011; Male:2097","","16859","","","","arcgis + webpage","Currently hospitalized:471; Acute care:366; Intensive care:105; Released from isolation:8099","10/27/2020"
