"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama",NA,"11505; eth_Unknown:2162; eth_Not Hispanic/Latino:8394; eth_Hispanic/Latino:949",NA,NA,NA,"ASIAN:68; BLACK:4507; OTHER:450; UNKNOWN:1571; WHITE:4909","5-24:1180; 65+:2860; 0-4:95; 50-64:2838; 25-49:4513; UNKNOWN:19","FEMALE:6653; MALE:4759; UNKNOWN/OTHER:93","485; eth_Unknown:59; eth_Not Hispanic/Latino:415; eth_Hispanic/Latino:11","ASIAN:3; BLACK:214; OTHER:6; UNKNOWN:18; WHITE:244","65+:393; 50-64:80; 25-49:12","FEMALE:217; MALE:267","x (death, in pdf)","1390",NA,NA,NA,"arcgis, pdf","CLN_ICU:502; CLN_VENT:296; HCW:1622; LTCF_Employee:763; LTCF_Resident:1181; LTCF_Visitor:48","05/16/2020"
"Alaska","33281","392; eth_Hispanic:38; eth_Non-Hispanic:334; eth_Unknown Ethnicity:20",733,4,0,"AI/AN:28; ASIAN:45; BLACK:9; MULTI:14; NH/PI:13; OTHER:12; UNKNOWN:15; WHITE:256","0-10:9; 10-19:24; 20-29:68; 30-39:76; 40-49:57; 50-59:70; 60-69:55; 70-79:25; 80+:8; UNKNOWN:0","FEMALE:192; MALE:200; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"43; eth_Hispanic:4; eth_Non-Hispanic:37; eth_Unknown Ethnicity:2","AI/AN:6; ASIAN:7; BLACK:0; MULTI:0; WHITE:23; NA:7","0-10:0; 10-19:0; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:13; 80+:3; UNKNOWN:0","FEMALE:17; MALE:26; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:109; expr_Secondary_Cases:170; expr_Travel_Cases:102; expr_UI_Cases:11; All_Beds:2280; Inpatient_Beds:1851; Inpatient_Occup:941; Inpatient_Avail:910; ICU_Beds:195; ICU_Occup:97; ICU_Avail:98; Pos_COVID_PUI_Pending:8; Vent_Cap:346; Vent_Avail:302; Vent_Occup:44","05/15/2020"
"Arizona","194504","13631",NA,NA,NA,"AI/AN:1602; ASIAN:147; BLACK:431; MULTI:0; OTHER:280; UNKNOWN:5669; WHITE:3016","0-19:1081; 20-44:5232; 45-54:2297; 55-64:2039; 65+:2970; UNKNOWN:12","FEMALE:7207; MALE:6937; UNKNOWN/OTHER:0","679","AI/AN:11; ASIAN:7; BLACK:22; MULTI:0; OTHER:11; UNKNOWN:131; WHITE:287","0-19:0; 20-44:26; 45-54:33; 55-64:77; 65+:542; UNKNOWN:NA","FEMALE:308; MALE:370; UNKNOWN/OTHER:0",NA,"1683","AI/AN:172; ASIAN:34; BLACK:87; MULTI:0; WHITE:673; NA:267","0-19:15; 20-44:318; 45-54:262; 55-64:322; 65+:766; UNKNOWN:NA","FEMALE:793; MALE:890; UNKNOWN/OTHER:0","manual",NA,"05/16/2020"
"Arkansas","93623","4578",NA,NA,NA,"AI:11; ASIAN:52; BLACK:1659; HISPANIC:249; MULTI:24; OTHER:168; PI:81; UNKNOWN:246; WHITE:2222","0-17:173; 18-24:383; 25-44:1724; 45-64:1464; 65+:719","FEMALE:0.391; MALE:0.6","98",NA,NA,NA,NA,"520",NA,NA,NA,"pdf","curr_hosp:5; recovered:4; active_cases:1; curr_vent:6; ever_vent:2; nursing_home_res:3","05/15/2020"
"California",NA,"76793",NA,NA,NA,"AI/AN:99; ASIAN:5595; BLACK:3178; HISPANIC:27943; MULTI:483; NH/PI:523; OTHER:2751; PENDING:24068; WHITE:12153","0-17:3064; 18-49:19467; 50-64:19144; 65+:18908",NA,"3119","AI/AN:13; ASIAN:461; BLACK:304; HISPANIC:1110; MULTI:18; NH/PI:28; OTHER:38; PENDING:126; WHITE:1021","0-17:0; 18-49:30; 50-64:155; 65+:468",NA,NA,NA,NA,NA,NA,"pdf",NA,"05/15/2020"
"Colorado",NA,"19507",NA,NA,NA,"HISPANIC:0.3515; NH AI/AN:0.0044; NH ASIAN:0.0278; NH BLACK:0.0624; NH MULTI:0.0078; NH NH/PI:0.0041; NH WHITE:0.3643; OTHER:0.0096; UNKNOWN:0.1683","0-9:414; 10-19:871; 20-29:3271; 30-39:3723; 40-49:3739; 50-59:3567; 60-69:2603; 70-79:1646; 80+:1743; UNKNOWN:56","FEMALE:0.5066; MALE:0.4832; UNKNOWN/OTHER:0.0101","963","HISPANIC:0.1888; NH AI/AN:0.0059; NH ASIAN:0.0403; NH BLACK:0.0696; NH MULTI:0.0092; NH NH/PI:0.0034; NH WHITE:0.6426; OTHER:0.0059; UNKNOWN:0.0344","10-19:2; 20-29:7; 30-39:7; 40-49:31; 50-59:60; 60-69:158; 70-79:280; 80+:647","FEMALE:0.4379; MALE:0.5596; UNKNOWN/OTHER:0.0025",NA,"3251",NA,"0-9:32; 10-19:30; 20-29:165; 30-39:319; 40-49:477; 50-59:689; 60-69:686; 70-79:513; 80+:339; UNKNOWN:1",NA,"tableau",NA,"05/16/2020"
"Connecticut","164755","36703",8847,618,54,"HISPANIC:5079; NH AI/AN:30; NH ASIAN/PI:444; NH BLACK:3720; NH MULTI:43; NH OTHER:163; NH WHITE:9964; UNKNOWN:11178","0-9:339; 10-19:830; 20-29:4037; 30-39:5123; 40-49:5251; 50-59:6453; 60-69:5457; 70-79:3609; 80+:5463","FEMALE:20033; MALE:16468","3339","HISPANIC:234; NH AI/AN:0; NH ASIAN/PI:25; NH BLACK:399; NH MULTI:8; NH OTHER:14; NH WHITE:1879; UNKNOWN:74","0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:46; 50-59:136; 60-69:418; 70-79:720; 80+:1991","FEMALE:1679; MALE:1651",NA,NA,NA,NA,NA,NA,"No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:994","05/15/2020"
"Delaware","39758; Unknown**:7200; Non-Hispanic White:15946; Non-Hispanic Black:9125; Hispanic/Latino:4425; Another/Multiple:2459; Asian/Pacific Islander:603","7547",NA,NA,NA,"ASIAN/PI:113; HISPANIC:2063; MULTI:405; NH BLACK:2067; NH WHITE:2075; UNKNOWN:824","0-4:87; 5-17:333; 18-34:1958; 35-49:1988; 50-64:1780; 65+:1401","FEMALE:4126; MALE:3397; UNKNOWN/OTHER:24","286","ASIAN/PI:1; HISPANIC:21; MULTI:3; NH BLACK:68; NH WHITE:172; UNKNOWN:21","0-4:0; 5-17:0; 18-34:8; 35-49:6; 50-64:43; 65+:229","FEMALE:150; MALE:136",NA,NA,NA,NA,NA,NA,"Current Hospitalizations:1; Recovered:3","05/16/2020"
"District of Columbia","35532","7042",NA,NA,NA,"AI/AN:19; ASIAN:96; BLACK:3325; MULTI:0; OTHER:1617; UNKNOWN:880; WHITE:1105",NA,NA,"375","AI/AN:0; ASIAN:7; BLACK:288; MULTI:0; OTHER:0; UNKNOWN:2; WHITE:0",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","05/16/2020"
"Florida","630795","43607",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:9002; MULTI:0; OTHER:3917; UNKNOWN:6674; WHITE:24014","0-4:264; 5-14:568; 15-24:3407; 25-34:6541; 35-44:6521; 45-54:7658; 55-64:7320; 65-74:5294; 75-84:3598; 85+:2423; UNKNOWN:13","FEMALE:22062; MALE:21545; UNKNOWN/OTHER:0","1964","AI/AN:0; ASIAN:0; BLACK:432; MULTI:0; OTHER:121; UNKNOWN:75; WHITE:1336","0-4:0; 5-14:0; 15-24:0; 25-34:14; 35-44:33; 45-54:77; 55-64:184; 65-74:432; 75-84:590; 85+:634; UNKNOWN:0",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:2151; MULTI:0; WHITE:4937; NA:1058","0-4:17; 5-14:15; 15-24:123; 25-34:391; 35-44:666; 45-54:1035; 55-64:1437; 65-74:1721; 75-84:1587; 85+:1154; UNKNOWN:0",NA,"pdf","Age data only available in images on site","05/16/2020"
