"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama","286008","23710; eth_Not Hispanic/Latino:15964; eth_Unknown:5114; eth_Hispanic/Latino:2255",NA,NA,NA,"ASIAN: 107; BLACK:9897; OTHER:1203; UNKNOWN:3639; WHITE:8487","25-49:9546; 0-4:325; 5-24:3396; 50-64:5229; 65+:4683; UNKNOWN:154","FEMALE:13420; MALE:9759; UNKNOWN:154","769; eth_Not Hispanic/Latino:664; eth_Unknown:82; eth_Hispanic/Latino:18","ASIAN:  5; BLACK:347; OTHER: 12; UNKNOWN: 27; WHITE:373","25-49:32; 0-4:1; 5-24:2; 50-64:127; 65+:602","FEMALE:357; MALE:404",NA,"2202",NA,NA,NA,"arcgis, pdf","CLN_ICU:658; CLN_VENT:384; HCW:2613; LTCF_Employee:1167; LTCF_Resident:1966","06/13/20"
"Alaska","70880","625; eth_Hispanic:45; eth_Non-Hispanic:502; eth_Unknown Ethnicity:78",1868,15,0,"AI/AN: 69; ASIAN: 58; BLACK: 17; HN/PI: 17; MULTI: 24; OTHER: 12; UNKNOWN: 61; WHITE:367","0-9:19; 10-19:45; 20-29:115; 30-39:123; 40-49:89; 50-59:109; 60-69:71; 70-79:39; 80+:15; UNKNOWN:0","FEMALE:314; MALE:311; UNKNOWN:0","12; eth_Hispanic:0; eth_Non-Hispanic:12; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; HN/PI:1; MULTI:0; OTHER:0; UNKNOWN:0; WHITE:7","0-9:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:6; 80+:2; UNKNOWN:0","FEMALE:6; MALE:6; UNKNOWN:0",NA,"51; eth_Hispanic:4; eth_Non-Hispanic:45; eth_Unknown Ethnicity:2","AI/AN: 7; ASIAN: 7; BLACK: 0; HN/PI: 4; MULTI: 0; OTHER: 4; UNKNOWN: 0; WHITE:29","0-9:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:9; 60-69:9; 70-79:17; 80+:5; UNKNOWN:0","FEMALE:21; MALE:30; UNKNOWN:0","arcgis + raw data","expr_Community_Cases:163; expr_Secondary_Cases:259; expr_Travel_Cases:105; expr_UI_Cases:98; All_Beds:2377; Inpatient_Beds:1849; Inpatient_Occup:990; Inpatient_Avail:859; ICU_Beds:198; ICU_Occup:90; ICU_Avail:108; Pos_COVID_PUI_Pending:12; Vent_Cap:348; Vent_Avail:326; Vent_Occup:22","06/11/20"
"Arizona","429327","31264",NA,NA,NA,"AI/AN: 3819; ASIAN:  297; BLACK:  936; HISPANIC: 7911; MULTI:    0; OTHER:  893; UNKNOWN:11317; WHITE: 6091","0-19:3194; 20-44:13783; 45-54:4977; 55-64:4257; 65+:5031; UNKNOWN:22","FEMALE:16497; MALE:14691","1127","AI/AN:200; ASIAN: 15; BLACK: 35; HISPANIC:205; MULTI:  0; OTHER: 20; UNKNOWN:133; WHITE:519","0-19:3; 20-44:53; 45-54:69; 55-64:142; 65+:860; UNKNOWN:NA","FEMALE:514; MALE:612",NA,"3531","AI/AN: 636; ASIAN:  61; BLACK: 181; HISPANIC:1060; MULTI:   0; OTHER:  73; UNKNOWN: 248; WHITE:1272","0-19:38; 20-44:746; 45-54:568; 55-64:689; 65+:1490; UNKNOWN:0","FEMALE:1753; MALE:1778","manual",NA,"06/12/20"
"Arkansas","187017","11547; eth_hispanic:2452; eth_nonhispanic:9095",NA,NA,NA,"ASIAN: 105; BLACK:3173; MULTI: 161; OTHER: 968; UNKNOWN:1296; WHITE:5322; NA: 683","0-17:1293; 18-24:1254; 25-44:4302; 45-64:3327; 65+:1371","FEMALE:5096; MALE:6400; UNKNOWN:51","176; eth_hispanic:11; eth_nonhispanic:165","ASIAN:  1; BLACK: 53; MULTI:  2; OTHER:  8; UNKNOWN:  7; WHITE:100; NA:  7","0-17:0; 18-24:0; 25-44:11; 45-64:38; 65+:127",NA,"case_diabetes:926; case_cardiac_disease:368; case_hypertension:1566; case_cpd:298; case_ckd:133; case_immunocompromised:126","979",NA,NA,NA,"pdf","curr_hosp:203; recovered:7607; active_cases:3764; curr_vent:49; ever_vent:160; nursingHomeRes:509; death_nursingHome:67; death_jailed:12; healthcareWorker:844","06/12/20"
"California","2662258","141983",NA,NA,NA,"AI/AN:  199; ASIAN: 8152; BLACK: 4832; HISPANIC:56896; HN/PI:  728; MULTI:  744; OTHER:11229; PENDING:40675; WHITE:18528","0-17:9461; 18-34:40545; 35-49:35675; 50-64:32069; 65-79:15293; 80+:8750","FEMALE:0.49; MALE:0.5; UNKNOWN:0.01","4832","AI/AN:  14; ASIAN: 697; BLACK: 458; HISPANIC:1912; HN/PI:  23; MULTI:  33; OTHER:  39; PENDING:  74; WHITE:1582","0-17:0; 18-34:52; 35-49:243; 50-64:771; 65-79:1541; 80+:2224","FEMALE:0.44; MALE:0.56; UNKNOWN:0",NA,NA,NA,NA,NA,"pdf",NA,"06/11/20"
"Colorado","236461","28822",NA,NA,NA,"HISPANIC:0.3834; NH AI/AN:0.0055; NH ASIAN:0.0270; NH BLACK:0.0588; NH HN/PI:0.0041; NH MULTI:0.0074; NH WHITE:0.3436; OTHER:0.0085; UNKNOWN:0.1617","0-9:662; 10-19:1403; 20-29:4684; 30-39:4950; 40-49:4865; 50-59:4493; 60-69:3132; 70-79:1986; 80+:2134; UNKNOWN:38","FEMALE:0.503; MALE:0.4785; UNKNOWN:0.0184","1595","HISPANIC:0.2041; NH AI/AN:0.0058; NH ASIAN:0.0361; NH BLACK:0.0683; NH HN/PI:0.0039; NH MULTI:0.0077; NH WHITE:0.6246; OTHER:0.0058; UNKNOWN:0.0438","10-19:3; 20-29:9; 30-39:10; 40-49:43; 50-59:90; 60-69:197; 70-79:368; 80+:833","FEMALE:0.4488; MALE:0.548; UNKNOWN:0.0032",NA,"5234",NA,"0-9:47; 10-19:58; 20-29:268; 30-39:431; 40-49:648; 50-59:889; 60-69:847; 70-79:610; 80+:410",NA,"tableau",NA,"06/09/20"
"Connecticut","342338","44994",13985,290,27,"HISPANIC: 8238; NH AI/AN:   40; NH ASIAN/PI:  656; NH BLACK: 5839; NH MULTI:  119; NH OTHER:  252; NH WHITE:15542; UNKNOWN:14308","0-9:600; 10-19:1229; 20-29:5219; 30-39:6367; 40-49:6317; 50-59:7626; 60-69:6399; 70-79:4275; 80+:6816","FEMALE:24503; MALE:20250","4186","HISPANIC: 354; NH AI/AN:   2; NH ASIAN/PI:  45; NH BLACK: 623; NH MULTI:  26; NH OTHER:  16; NH WHITE:3058; UNKNOWN:  62","0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:51; 50-59:166; 60-69:515; 70-79:899; 80+:2528","FEMALE:2179; MALE:2002",NA,NA,NA,NA,NA,NA,"curr_hosp:233","06/12/20"
"Delaware","77694; race_Non-Hispanic White:30833; race_Non-Hispanic Black:16729; race_Hispanic/Latino:7865; race_Another/Multiple:3898; race_Asian/Pacific Islander:1167; race_Unknown:17202","10173",NA,NA,NA,"ASIAN/PI: 156; HISPANIC:2921; MULTI: 505; NH BLACK:2706; NH WHITE:2952; UNKNOWN: 933","0-4:121; 5-17:480; 18-34:2706; 35-49:2608; 50-64:2335; 65+:1923","FEMALE:5613; MALE:4543; UNKNOWN:17","414","ASIAN/PI:  1; HISPANIC: 27; MULTI:  4; NH BLACK:110; NH WHITE:251; UNKNOWN: 21","0-4:0; 5-17:0; 18-34:11; 35-49:12; 50-64:60; 65+:331","FEMALE:220; MALE:194",NA,NA,NA,NA,NA,NA,"curr_hosp:67521; Hospitalized:100","06/12/20"
"District of Columbia","61953","48702; eth_hispanic:2734; eth_non_hispanic:5735; eth_unk:1185",NA,NA,NA,"AI/AN:  25; ASIAN: 146; BLACK:4769; HISPANIC:   0; HN/PI:  27; MULTI:2469; UNKNOWN: 162; WHITE:1770","0-4:120; 5-14:222; 15-19:211; 20-24:545; 25-34:1829; 35-44:1751; 45-54:1482; 55-64:1563; 64-74:1015; 75+:906; UNKNOWN:NA","FEMALE:4837; MALE:4798; UNKNOWN:19","9654","AI/AN:  0; ASIAN:  7; BLACK:375; HISPANIC: 65; HN/PI:  0; MULTI:  0; UNKNOWN:  5; WHITE: 54",NA,NA,NA,"NA; eth_hispanic:2734; eth_non_hispanic:5735; eth_unk:1185",NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","06/12/20"
"Florida","1336895","69341; eth_hispanic:25852; eth_non_hispanic:31452; eth_unk:12037",NA,NA,NA,"AI/AN:    0; ASIAN:    0; BLACK:14158; MULTI:    0; OTHER: 7254; UNKNOWN:10808; WHITE:37121","0-4:793; 5-14:1733; 15-24:6897; 25-34:11335; 35-44:10800; 45-54:11557; 55-64:10607; 65-74:7225; 75-84:4907; 85+:3467; UNKNOWN:20","FEMALE:35197; MALE:34099; UNKNOWN:45","2877; eth_hispanic:675; eth_non_hispanic:2000; eth_unk:202","AI/AN:   0; ASIAN:   0; BLACK: 607; MULTI:   0; OTHER: 178; UNKNOWN: 102; WHITE:1990","0-4:0; 5-14:0; 15-24:1; 25-34:17; 35-44:47; 45-54:105; 55-64:257; 65-74:599; 75-84:833; 85+:1018; UNKNOWN:0",NA,NA,"11706; eth_hispanic:4004; eth_non_hispanic:7155; eth_unk:547","AI/AN:   0; ASIAN:   0; BLACK:3094; MULTI:   0; OTHER:1218; UNKNOWN: 317; WHITE:7077","0-4:43; 5-14:36; 15-24:214; 25-34:628; 35-44:995; 45-54:1494; 55-64:2050; 65-74:2329; 75-84:2200; 85+:1716; UNKNOWN:1",NA,"pdf","Age data only available in images on site","06/12/20"
