"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
16,"Alabama","454592","44878; eth_Hispanic/Latino:4194; eth_Not Hispanic/Latino:26126; eth_Unknown:14055",NA,NA,NA,"ASIAN:  190; BLACK:15481; OTHER: 2549; UNKNOWN:11162; WHITE:14993","65+:7538; 0-4:774; 25-49:18376; 5-24:8368; 50-64:9000; UNKNOWN:319","FEMALE:24828; MALE:19183; UNKNOWN:364","1007; eth_Hispanic/Latino:31; eth_Not Hispanic/Latino:850; eth_Unknown:103","ASIAN:  4; BLACK:442; OTHER: 17; UNKNOWN: 33; WHITE:488","65+:770; 0-4:2; 25-49:43; 5-24:2; 50-64:167","FEMALE:477; MALE:504",NA,"2914",NA,NA,NA,"arcgis, pdf","CLN_ICU:843; CLN_VENT:473; HCW:3922; LTCF_Employee:1696; LTCF_Resident:2627","07/06/20"
28,"Alaska","128330","1166; eth_Hispanic:66; eth_Non-Hispanic:738; eth_Unknown Ethnicity:362",NA,NA,NA,"AI/AN:136; ASIAN: 60; BLACK: 25; HN/PI: 29; MULTI: 36; OTHER: 22; UNKNOWN:306; WHITE:552","0-9:44; 10-19:90; 20-29:243; 30-39:232; 40-49:179; 50-59:178; 60-69:118; 70-79:61; 80+:21; UNKNOWN:0","FEMALE:582; MALE:584; UNKNOWN:0","16; eth_Hispanic:1; eth_Non-Hispanic:2; eth_Unknown Ethnicity:1","AI/AN:0.188; ASIAN:0.125; BLACK:0.000; HN/PI:0.063; MULTI:0.000; OTHER:0.000; UNKNOWN:0.000; WHITE:0.625","0-9:0; 10-19:0; 20-29:0; 30-39:0.125; 40-49:0; 50-59:0.063; 60-69:0.125; 70-79:0.5; 80+:0.188; UNKNOWN:0","FEMALE:0.438; MALE:0.563; UNKNOWN:0",NA,"74; eth_Hispanic:1; eth_Non-Hispanic:3; eth_Unknown Ethnicity:2","AI/AN:0.176; ASIAN:0.108; BLACK:0.000; HN/PI:0.081; MULTI:0.000; OTHER:0.054; UNKNOWN:0.014; WHITE:0.568","0-9:0; 10-19:0.014; 20-29:0.081; 30-39:0.095; 40-49:0.054; 50-59:0.203; 60-69:0.162; 70-79:0.297; 80+:0.095; UNKNOWN:0","FEMALE:0.419; MALE:0.581; UNKNOWN:0","arcgis + raw data","expr_1:3; expr_2:2; expr_3:1; expr_4:13; expr_5:14; expr_6:15; expr_7:16; expr_8:17; expr_9:18; expr_10:4; expr_11:5; expr_12:6; expr_13:7; expr_14:8; expr_15:9; expr_16:10; expr_17:11; expr_18:12","07/05/20"
NA,"Arizona","800452","101441",NA,NA,NA,"AI/AN: 6755; ASIAN:  712; BLACK: 2129; HISPANIC:22883; MULTI:    0; OTHER: 1930; UNKNOWN:51811; WHITE:15221","0-19:11319; 20-44:50752; 45-54:15668; 55-64:11882; 65+:11676; UNKNOWN:144","FEMALE:52678; MALE:48548","1810","AI/AN:299; ASIAN: 19; BLACK: 50; HISPANIC:398; MULTI:  0; OTHER: 38; UNKNOWN:251; WHITE:755","0-19:8; 20-44:108; 45-54:122; 55-64:250; 65+:1322; UNKNOWN:NA","FEMALE:809; MALE:999",NA,"5188","AI/AN: 725; ASIAN:  85; BLACK: 250; HISPANIC:1863; MULTI:   0; OTHER:  92; UNKNOWN: 354; WHITE:1819","0-19:76; 20-44:1160; 45-54:838; 55-64:983; 65+:2131; UNKNOWN:0","FEMALE:2550; MALE:2636","manual",NA,"07/06/20"
21,"Arkansas","350396","24253; eth_hispanic:5913; eth_nonhispanic:18340",NA,NA,NA,"AI/AN:   64; ASIAN:  326; BLACK: 5239; HN/PI: 1597; OTHER: 2254; UNKNOWN: 3491; WHITE:11282","0-17:3047; 18-24:3166; 25-44:8989; 45-64:6534; 65+:2517","FEMALE:10829; MALE:13113; UNKNOWN:311","292; eth_hispanic:24; eth_nonhispanic:268","AI/AN:  0; ASIAN:  3; BLACK: 70; HN/PI: 27; OTHER: 19; UNKNOWN: 14; WHITE:159","0-17:0; 18-24:0; 25-44:16; 45-64:68; 65+:208",NA,"case_diabetes:1676; case_cardiac_disease:592; case_hypertension:2650; case_cpd:490; case_ckd:195; case_immunocompromised:170","1604",NA,NA,NA,"pdf","curr_hosp:337; recovered:17834; active_cases:6127; curr_vent:81; ever_vent:247; nursingHomeRes:848; death_nursingHome:103; death_jailed:15; healthcareWorker:1438","07/06/20"
2,"California","4793353","271684",NA,NA,NA,"AI/AN:  349; ASIAN:11219; BLACK: 7693; HISPANIC:97599; HN/PI: 1063; MULTI: 1252; OTHER:27318; WHITE:30519","0-17:22332; 18-34:90322; 35-49:68445; 50-64:54836; 65-79:23576; 80+:11865","FEMALE:134224; MALE:136050; UNKNOWN:1410","6301","AI/AN:  23; ASIAN: 883; BLACK: 575; HISPANIC:2625; HN/PI:  25; MULTI:  34; OTHER:  70; WHITE:1992","0-17:0; 18-34:68; 35-49:316; 50-64:1044; 65-79:1985; 80+:2887","FEMALE:2759; MALE:3534; UNKNOWN:8",NA,NA,NA,NA,NA,"pdf",NA,"07/05/20"
13,"Colorado","357751","34257",NA,NA,NA,"HISPANIC:0.3767; NH AI/AN:0.0055; NH ASIAN:0.0242; NH BLACK:0.0528; NH HN/PI:0.0037; NH MULTI:0.0102; NH WHITE:0.3406; OTHER:0.0083; UNKNOWN:0.1780","0-9:889; 10-19:1971; 20-29:6442; 30-39:5956; 40-49:5701; 50-59:5203; 60-69:3541; 70-79:2207; 80+:2307; UNKNOWN:40","FEMALE:0.496; MALE:0.4758; OTHER:3e-04; UNKNOWN:0.0278","1691","HISPANIC:0.2153; NH AI/AN:0.0053; NH ASIAN:0.0337; NH BLACK:0.0651; NH HN/PI:0.0035; NH MULTI:0.0124; NH WHITE:0.6233; OTHER:0.0041; UNKNOWN:0.0373","10-19:3; 20-29:10; 30-39:12; 40-49:44; 50-59:111; 60-69:217; 70-79:396; 80+:898","FEMALE:0.45; MALE:0.5464; UNKNOWN:0.0035",NA,"5591",NA,"0-9:54; 10-19:76; 20-29:322; 30-39:498; 40-49:724; 50-59:976; 60-69:939; 70-79:659; 80+:430",NA,"tableau",NA,"07/06/20"
6,"Connecticut","522385","46976",24692,256,3,"HISPANIC: 8893; NH AI/AN:   45; NH ASIAN/PI:  681; NH BLACK: 6144; NH MULTI:  129; NH OTHER:  266; NH WHITE:16492; UNKNOWN:14326","0-9:668; 10-19:1400; 20-29:5734; 30-39:6662; 40-49:6614; 50-59:7921; 60-69:6551; 70-79:4416; 80+:6952","FEMALE:25651; MALE:21203","4338","HISPANIC: 374; NH AI/AN:   2; NH ASIAN/PI:  47; NH BLACK: 644; NH MULTI:  27; NH OTHER:  16; NH WHITE:3179; UNKNOWN:  49","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:56; 50-59:176; 60-69:533; 70-79:945; 80+:2601","FEMALE:2266; MALE:2072",NA,NA,NA,NA,NA,NA,"curr_hosp:69","07/05/20"
20,"Delaware","127179; race_Non-Hispanic White:56217; race_Non-Hispanic Black:26555; race_Hispanic/Latino:11026; race_Another/Multiple:7269; race_Asian/Pacific Islander:2166; race_Unknown:23946","12293",NA,NA,NA,"ASIAN/PI: 176; HISPANIC:3342; MULTI: 608; NH BLACK:3148; NH WHITE:3839; UNKNOWN:1180","0-4:156; 5-17:620; 18-34:3675; 35-49:2988; 50-64:2640; 65+:2214","FEMALE:6771; MALE:5503; UNKNOWN:19","512","ASIAN/PI:  1; HISPANIC: 31; MULTI:  6; NH BLACK:131; NH WHITE:322; UNKNOWN: 21","0-4:0; 5-17:0; 18-34:11; 35-49:14; 50-64:66; 65+:421","FEMALE:271; MALE:241",NA,NA,NA,NA,NA,NA,"curr_hosp:15; Recoveries:6778","07/06/20"
29,"District of Columbia","107650","10515; eth_Unknown:1213; eth_Hispanic or Latino:2996; eth_NOT Hispanic or Latino:6287; eth_Refused During Interview:19",NA,NA,NA,"AI/AN:  26; ASIAN: 168; BLACK:2695; HN/PI:  29; MULTI:2695; UNKNOWN: 213; WHITE:2158","0-4:135; 5-14:263; 15-19:235; 20-24:625; 25-34:2048; 35-44:1912; 45-54:1602; 55-64:1677; 65-74:1061; 75+:945; UNKNOWN:12","FEMALE:5273; MALE:5223; UNKNOWN:19","561","ASIAN:  8; BLACK:418; HISPANIC: 74; NH WHITE: 60; OTHER:  5","0-18:0; 20-29:3; 30-39:7; 40-49:19; 50-59:64; 60-69:131; 70-79:142; 80+:195","FEMALE:240; MALE:321",NA,NA,NA,NA,NA,"interactive",NA,"07/06/20"
NA,"Florida","2235937","203376; eth_hispanic:55824; eth_non_hispanic:69158; eth_unk:78394",NA,NA,NA,"AI/AN:    0; ASIAN:    0; BLACK:31278; MULTI:    0; OTHER:17692; UNKNOWN:71086; WHITE:83320","0-4:3224; 5-14:6623; 15-24:32996; 25-34:42305; 35-44:32987; 45-54:30902; 55-64:24774; 65-74:14852; 75-84:8829; 85+:5561; UNKNOWN:323","FEMALE:102441; MALE:100036; UNKNOWN:899","3778; eth_hispanic:977; eth_non_hispanic:2544; eth_unk:257","AI/AN:   0; ASIAN:   0; BLACK: 787; MULTI:   0; OTHER: 262; UNKNOWN: 135; WHITE:2594","0-4:0; 5-14:1; 15-24:7; 25-34:21; 35-44:69; 45-54:149; 55-64:342; 65-74:784; 75-84:1056; 85+:1349; UNKNOWN:0",NA,NA,"16045; eth_hispanic:5567; eth_non_hispanic:9673; eth_unk:805","AI/AN:   0; ASIAN:   0; BLACK:4232; MULTI:   0; OTHER:1757; UNKNOWN: 478; WHITE:9578","0-4:73; 5-14:60; 15-24:388; 25-34:993; 35-44:1488; 45-54:2159; 55-64:2778; 65-74:3085; 75-84:2804; 85+:2217; UNKNOWN:0",NA,"pdf","Age data only available in images on site","07/06/20"
